Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.1196,90.0,0.0071,86760.0,9860.0,1
6,12,0.1196,90.0,0.0121,26350.0,5890.0,1
6,12,0.1196,90.0,0.0171,25810.0,4670.0,1
6,12,0.1196,90.0,0.0221,40060.0,4770.0,1
6,12,0.1196,145.0,0.0021,17100.0,700.0,1
6,12,0.1196,145.0,0.0071,4800.0,340.0,1
6,12,0.1196,145.0,0.0121,2390.0,210.0,1
6,12,0.1196,145.0,0.0171,3280.0,260.0,1
6,12,0.1196,145.0,0.0221,7220.0,410.0,1
6,12,0.1597,90.0,0.0022,122300.0,5450.0,1
6,12,0.1597,90.0,0.0072,45470.0,2170.0,1
6,12,0.1597,90.0,0.0122,22240.0,1400.0,1
6,12,0.1597,90.0,0.0172,13940.0,1140.0,1
6,12,0.1597,90.0,0.0222,19770.0,1330.0,1
6,12,0.1597,90.0,0.0272,22000.0,1360.0,1
6,12,0.1597,90.0,0.0322,23400.0,1470.0,1
6,12,0.1597,90.0,0.0372,22540.0,1420.0,1
6,12,0.1597,90.0,0.0422,21370.0,1400.0,1
6,12,0.1597,90.0,0.0472,19390.0,1380.0,1
6,12,0.1597,90.0,0.0522,17230.0,1350.0,1
6,12,0.1597,90.0,0.0572,14640.0,1310.0,1
6,12,0.1597,90.0,0.0622,12000.0,1270.0,1
6,12,0.1597,145.0,0.0022,718.0,71.0,1
6,12,0.1597,145.0,0.0072,1331.0,73.0,1
6,12,0.1597,145.0,0.0122,947.0,51.0,1
6,12,0.1597,145.0,0.0172,1055.0,58.0,1
6,12,0.1597,145.0,0.0222,3930.0,170.0,1
6,12,0.1597,145.0,0.0272,2770.0,120.0,1
6,12,0.1597,145.0,0.0322,3320.0,160.0,1
6,12,0.1597,145.0,0.0372,4030.0,180.0,1
6,12,0.1597,145.0,0.0422,4900.0,220.0,1
6,12,0.1597,145.0,0.0472,5420.0,250.0,1
6,12,0.1597,145.0,0.0522,5620.0,270.0,1
6,12,0.1597,145.0,0.0572,5500.0,280.0,1
6,12,0.1597,145.0,0.0622,5130.0,280.0,1
6,12,0.16,36.0,0.0125,410600.0,183200.0,1
6,12,0.16,36.0,0.0175,409000.0,147500.0,1
6,12,0.16,36.0,0.0225,790800.0,146500.0,1
6,12,0.16,36.0,0.0275,542100.0,123000.0,1
6,12,0.161,60.0,0.0084,146800.0,19250.0,1
6,12,0.161,60.0,0.0134,81090.0,10790.0,1
6,12,0.161,60.0,0.0184,96280.0,9250.0,1
6,12,0.161,60.0,0.0234,147100.0,9330.0,1
6,12,0.161,60.0,0.0284,132800.0,8350.0,1
6,12,0.161,60.0,0.0334,101000.0,7350.0,1
6,12,0.161,60.0,0.0384,84780.0,6800.0,1
6,12,0.161,60.0,0.0434,71350.0,6380.0,1
6,12,0.161,60.0,0.0484,58670.0,6040.0,1
6,12,0.1999,90.0,0.0049,1750.0,110.0,1
6,12,0.1999,90.0,0.0099,20370.0,810.0,1
6,12,0.1999,90.0,0.0149,12140.0,470.0,1
6,12,0.1999,90.0,0.0199,9460.0,420.0,1
6,12,0.1999,90.0,0.0249,11500.0,490.0,1
6,12,0.1999,90.0,0.0299,11750.0,520.0,1
6,12,0.1999,90.0,0.0349,12570.0,540.0,1
6,12,0.1999,90.0,0.0399,14300.0,630.0,1
6,12,0.1999,90.0,0.0449,15130.0,670.0,1
6,12,0.1999,90.0,0.0499,15350.0,670.0,1
