qv,nu,RL ,RLerr,qvcenter
0.55,0.033253585714285716,0.00038,0.00035999999999999997,0.57
0.55,0.03850944,0.000595,0.000505,0.57
0.55,0.04343594571428572,0.0006100000000000001,0.00049,0.57
0.55,0.04915380285714286,0.0007300000000000001,0.00030000000000000003,0.57
0.55,0.05318832285714285,0.001095,0.000305,0.57
0.55,0.058384711428571434,0.001325,0.000475,0.57
0.55,0.06377321999999999,0.001245,0.000515,0.57
0.55,0.06833378285714287,0.0015,0.00033,0.57
0.55,0.07319624857142856,0.00173,0.00043000000000000004,0.57
0.55,0.07836061714285715,0.0027,0.00039999999999999996,0.57
0.55,0.08322765714285715,0.003085,0.00026500000000000004,0.57
0.55,0.08825022285714286,0.00331,0.0005,0.57
0.55,0.09338714571428572,0.00337,0.0005,0.57
0.55,0.09825418571428571,0.004065,0.00042500000000000003,0.57
0.55,0.10300686857142857,0.00456,0.0008200000000000002,0.57
0.55,0.10822155428571428,0.00457,0.0008700000000000001,0.57
0.55,0.11294679142857142,0.0049,0.0005200000000000001,0.57
0.55,0.11820264571428571,0.005585,0.0004950000000000002,0.57
0.55,0.12295990285714287,0.00597,0.00084,0.57
0.55,0.12801906285714287,0.00592,0.0008900000000000002,0.57
0.55,0.13271685428571428,0.006545,0.001085,0.57
0.55,0.13801387714285715,0.006455000000000001,0.0010149999999999998,0.57
0.55,0.14321484,0.00691,0.0011200000000000003,0.57
0.55,0.14815964285714286,0.007124999999999999,0.0012749999999999997,0.57
0.55,0.15279796857142855,0.007355,0.0010849999999999996,0.57
0.55,0.15824594285714286,0.0077,0.0010399999999999997,0.57
0.55,0.1625229,0.007745,0.0015049999999999998,0.57
0.55,0.16735792,0.007729999999999999,0.0010999999999999998,0.57
0.55,0.17247197142857143,0.007685,0.0014749999999999997,0.57
0.55,0.17722465428571427,0.00727,0.0015499999999999997,0.57
0.55,0.18240274571428572,0.006540000000000001,0.0015,0.57
0.55,0.18741158857142856,0.005895,0.0016249999999999997,0.57
0.55,0.1917525857142857,0.005860000000000001,0.0015899999999999998,0.57
0.55,0.19673855714285715,0.006045,0.0010550000000000004,0.57
0.55,0.2024152457142857,0.0058449999999999995,0.0016450000000000002,0.57
0.55,0.20743323714285714,0.005315,0.001495,0.57
0.55,0.21144031142857145,0.005525,0.000905,0.57
0.55,0.2170255142857143,0.0058449999999999995,0.001225,0.57
0.55,0.22161809714285716,0.005275,0.0011549999999999998,0.57
0.55,0.22621982857142856,0.004595,0.001105,0.57
0.55,0.23171812,0.00545,0.0012900000000000003,0.57
0.55,0.23707003428571427,0.00352,0.0012600000000000003,0.57
0.55,0.24115944571428574,0.004255,0.001215,0.57
0.55,0.24629636857142856,0.00425,0.0011500000000000002,0.57
0.55,0.25148818285714286,0.00344,0.0012499999999999998,0.57
0.55,0.2560670428571429,0.00313,0.0013,0.57
0.55,0.2612176885714286,0.004245,0.001165,0.57
0.55,0.26624482857142856,0.0033799999999999998,0.0012499999999999998,0.57
0.55,0.2710981457142857,0.002715,0.0012949999999999997,0.57
0.55,0.27645920857142864,0.001815,0.001295,0.57
0.55,0.2815137942857143,0.001825,0.001335,0.57
0.55,0.2869800657142857,0.0018499999999999999,0.00138,0.57
0.55,0.2918059371428572,0.00286,0.00152,0.57
0.55,0.2965677685714285,0.002255,0.0016849999999999999,0.57
0.55,0.3015583142857142,0.001945,0.001625,0.57
0.55,0.30653056285714286,0.00198,0.00184,0.57
0.55,0.3114845142857143,0.0022600000000000003,0.00214,0.57
0.55,0.3165391,0.00224,0.0018999999999999998,0.57
0.55,0.3216623,0.00248,0.00216,0.57
0.55,0.32654763714285717,0.0025599999999999998,0.00211,0.57
0.55,0.3313735085714286,0.0022549999999999996,0.002075,0.57
0.55,0.3369861571428571,0.002585,0.002475,0.57
0.55,0.34162448285714286,0.0026300000000000004,0.00215,0.57
0.55,0.34654183999999993,0.00219,0.0021000000000000003,0.57
0.55,0.35168791142857136,0.0020399999999999997,0.0019299999999999999,0.57
0.55,0.35664643714285715,0.002265,0.001325,0.57
