qv,nu,RT,RTerr,qvcenter
0.55,0.0367365,0.001707,0.0005499999999999999,0.57
0.55,0.04199,0.0020245000000000003,0.0005505,0.57
0.55,0.0467095,0.0028265,0.0005895000000000002,0.57
0.55,0.052131,0.0032884999999999998,0.0005505,0.57
0.55,0.0563345,0.004025,0.000498,0.57
0.55,0.0615845,0.0044475,0.0004454999999999997,0.57
0.55,0.066466,0.0055505,0.0004454999999999997,0.57
0.55,0.0717875,0.006392500000000001,0.00044550000000000015,0.57
0.55,0.0769515,0.006814499999999999,0.0004975000000000001,0.57
0.55,0.08157149999999999,0.0079965,0.0005235000000000001,0.57
0.55,0.086648,0.008445,0.0004980000000000002,0.57
0.55,0.09213199999999999,0.009588,0.0005110000000000002,0.57
0.55,0.09692300000000001,0.010809,0.0005499999999999993,0.57
0.55,0.10216149999999999,0.0115725,0.0004714999999999997,0.57
0.55,0.10653399999999999,0.012413500000000001,0.0004975000000000005,0.57
0.55,0.1115865,0.013555999999999999,0.0005370000000000002,0.57
0.55,0.11682200000000001,0.0143975,0.0005894999999999997,0.57
0.55,0.121962,0.015515000000000001,0.0005240000000000002,0.57
0.55,0.127193,0.016487,0.0009169999999999994,0.57
0.55,0.1322015,0.016411500000000002,0.0008385000000000007,0.57
0.55,0.13750800000000002,0.017686,0.0009300000000000003,0.57
0.55,0.14172449999999998,0.018055,0.0007730000000000011,0.57
0.55,0.146547,0.018359,0.0007860000000000002,0.57
0.55,0.152057,0.018769,0.0009300000000000003,0.57
0.55,0.157206,0.0196105,0.0006945000000000007,0.57
0.55,0.162468,0.019679000000000002,0.0008910000000000012,0.57
0.55,0.167135,0.019498500000000002,0.000812499999999999,0.57
0.55,0.1719565,0.0198425,0.0008385000000000007,0.57
0.55,0.177474,0.020016,0.0008249999999999993,0.57
0.55,0.182395,0.0199795,0.0008125000000000007,0.57
0.55,0.18731799999999998,0.0198645,0.0008774999999999998,0.57
0.55,0.19172650000000002,0.019671,0.0009169999999999994,0.57
0.55,0.197178,0.019255,0.0008649999999999994,0.57
0.55,0.202117,0.0186815,0.0008645000000000007,0.57
0.55,0.20722049999999997,0.0183705,0.0007594999999999998,0.57
0.55,0.2118105,0.0179015,0.0008125000000000007,0.57
0.55,0.2165955,0.016791,0.0012180000000000003,0.57
0.55,0.22179,0.0163225,0.0008774999999999998,0.57
0.55,0.22741250000000002,0.015959,0.0009039999999999994,0.57
0.55,0.23183900000000002,0.015241,0.0009169999999999994,0.57
0.55,0.23716500000000001,0.015965,0.0008510000000000002,0.57
0.55,0.2424015,0.0142785,0.0008384999999999998,0.57
0.55,0.2471695,0.0136655,0.0010344999999999998,0.57
0.55,0.25182,0.01397,0.0007860000000000002,0.57
0.55,0.25752600000000003,0.013685,0.0008119999999999994,0.57
0.55,0.2627355,0.012784,0.0008250000000000002,0.57
0.55,0.2676535,0.012826500000000001,0.0008904999999999998,0.57
0.55,0.2724045,0.012698500000000001,0.0008644999999999998,0.57
0.55,0.27739499999999995,0.0131335,0.0008774999999999998,0.57
0.55,0.28266250000000004,0.013045500000000002,0.0008384999999999998,0.57
0.55,0.287478,0.013572,0.0007859999999999994,0.57
0.55,0.29232800000000003,0.013077,0.0011789999999999995,0.57
0.55,0.296954,0.0140755,0.0012315,0.57
0.55,0.30247,0.014288499999999999,0.0008644999999999998,0.57
0.55,0.3078025,0.014829,0.0012709999999999996,0.57
0.55,0.31218999999999997,0.015237999999999998,0.0013359999999999995,0.57
0.55,0.3176145,0.015621,0.0012710000000000004,0.57
0.55,0.3231255,0.0159785,0.0013885,0.57
0.55,0.3277325,0.01754,0.0012710000000000013,0.57
0.55,0.33314299999999997,0.0183035,0.001244499999999999,0.57
0.55,0.33803550000000004,0.019079,0.0016509999999999997,0.57
0.55,0.3434405,0.0200255,0.0012315,0.57
0.55,0.34849399999999997,0.0211425,0.0011135,0.57
0.55,0.3535575,0.0219705,0.0012835,0.57
0.55,0.3583655,0.022694,0.0012709999999999996,0.57
0.55,0.36334449999999996,0.023469999999999998,0.0013100000000000004,0.57
