qv,nu,RL,RLerr,qvcenter,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,bc_qv_nu,RLbc,RLerr_bc,Ex
0.4,0.0161108032,0.006775,0.0005149999999999,0.38,0.00948,5.19e-08,0.000905,2.41e-08,1,0.006775,0.0005149999999999,0.008965498046115097
0.4,0.021312473,0.00477,0.0005,0.38,0.00703,2.49e-05,0.00762,2.65e-06,1,0.00477,0.0005,0.014175875285980303
0.4,0.0265618208,0.007145,0.0005049999999999,0.38,0.00313,0.0149,0.00155,0.0234,1,0.007145,0.0005049999999999,0.019436464310655363
0.4,0.0317158126,0.007175,0.0004749999999999,0.38,0.00513,0.0067,0.00349,0.00529,1,0.007175,0.0004749999999999,0.02460389153938443
0.4,0.0365598974,0.008365,0.000475,0.38,0.00687,0.00882,0.00497,0.00724,1,0.008365,0.000475,0.02946277027966982
0.4,0.0414182855999999,0.0088449999999999,0.000315,0.38,0.00916,0.0111,0.00682,0.00927,1,0.0088449999999999,0.000315,0.034338104636591565
0.4,0.0468392742,0.00998,0.0004999999999999,0.38,0.0114,0.0136,0.00876,0.0116,1,0.00998,0.0004999999999999,0.03978049434705595
0.4,0.051468808,0.010835,0.0008349999999999,0.38,0.0124,0.0157,0.00978,0.0136,1,0.010835,0.0008349999999999,0.044430386019186835
0.4,0.057047134,0.011555,0.0007549999999999,0.38,0.0128,0.0181,0.0103,0.0159,1,0.011555,0.0007549999999999,0.05003578919312998
0.4,0.0621057698,0.012745,0.0007549999999999,0.38,0.013,0.02,0.0105,0.0179,1,0.012745,0.0007549999999999,0.0551213864864578
0.4,0.0665684305999999,0.0143749999999999,0.0007549999999999,0.38,0.0135,0.0216,0.011,0.0196,1,0.0143749999999999,0.0007549999999999,0.05960973297755165
0.4,0.0719274378,0.01516,0.0008599999999999,0.38,0.0143,0.0231,0.0118,0.0213,1,0.01516,0.0008599999999999,0.06500193933464272
0.4,0.0767333801999999,0.0147949999999999,0.000895,0.38,0.015,0.0242,0.0126,0.0227,1,0.0147949999999999,0.000895,0.06983983983664857
0.4,0.0819541212,0.015095,0.000875,0.38,0.0157,0.0251,0.0134,0.0239,1,0.015095,0.000875,0.07509763873362248
0.4,0.0867219212,0.016325,0.000895,0.38,0.0162,0.0255,0.014,0.0248,1,0.016325,0.000895,0.07990141178939966
0.4,0.0913705262,0.016335,0.0009049999999999,0.38,0.0165,0.0257,0.0145,0.0253,1,0.016335,0.0009049999999999,0.08458704852322708
0.4,0.0968010503999999,0.016995,0.000865,0.38,0.0167,0.0255,0.0149,0.0256,1,0.016995,0.000865,0.09006328171859639
0.4,0.1017595623999999,0.01629,0.00123,0.38,0.0167,0.025,0.0151,0.0256,1,0.01629,0.00123,0.09506583402908558
0.4,0.106703771,0.015915,0.0008949999999999,0.38,0.0165,0.0243,0.0152,0.0253,1,0.015915,0.0008949999999999,0.10005614596625606
0.4,0.1117719423999999,0.01667,0.00121,0.38,0.0161,0.0233,0.0151,0.0247,1,0.01667,0.00121,0.10517384645742828
