qv,nu,RT,RTerr,qvcenter,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,bc_qv_nu,RTbc,RTerr_bc,Ex
0.55,0.0367365,0.001707,0.0005499999999999,0.57,0.000129,0.000546,0.000217,0.000818,1,0.001707,0.0005499999999999,0.023265824138139646
0.55,0.04199,0.0020245,0.0005505,0.57,0.000225,0.000924,0.000354,0.00127,1,0.0020245,0.0005505,0.02853782430220075
0.55,0.0467095,0.0028265,0.0005895,0.57,0.000307,0.0012,0.000488,0.00165,1,0.0028265,0.0005895,0.03327604935544149
0.55,0.052131,0.0032884999999999,0.0005505,0.57,0.000419,0.00158,0.000661,0.00216,1,0.0032884999999999,0.0005505,0.03872151892829665
0.55,0.0563345,0.004025,0.000498,0.57,0.000505,0.00192,0.000786,0.00262,1,0.004025,0.000498,0.04294541321749195
0.55,0.0615845,0.0044475,0.0004454999999999,0.57,0.000604,0.0024,0.000923,0.00327,1,0.0044475,0.0004454999999999,0.048223104877449005
0.55,0.066466,0.0055505,0.0004454999999999,0.57,0.000703,0.00292,0.00106,0.00395,1,0.0055505,0.0004454999999999,0.05313256509017713
0.55,0.0717875,0.0063925,0.0004455,0.57,0.000842,0.00357,0.00126,0.0048,1,0.0063925,0.0004455,0.05848697419736312
0.55,0.0769515,0.0068144999999999,0.0004975,0.57,0.00102,0.00428,0.00151,0.0057,1,0.0068144999999999,0.0004975,0.06368533133620728
0.55,0.0815714999999999,0.0079965,0.0005235,0.57,0.00121,0.00498,0.00177,0.00659,1,0.0079965,0.0005235,0.06833809105440364
0.55,0.086648,0.008445,0.000498,0.57,0.00145,0.00582,0.00209,0.00763,1,0.008445,0.000498,0.07345278958239398
0.55,0.0921319999999999,0.009588,0.000511,0.57,0.00174,0.00681,0.00247,0.00881,1,0.009588,0.000511,0.07898064490177123
0.55,0.096923,0.010809,0.0005499999999999,0.57,0.00201,0.00773,0.00282,0.00989,1,0.010809,0.0005499999999999,0.08381216031172839
0.55,0.1021614999999999,0.0115725,0.0004714999999999,0.57,0.00233,0.00879,0.00322,0.0111,1,0.0115725,0.0004714999999999,0.08909731016649883
0.55,0.1065339999999999,0.0124135,0.0004975,0.57,0.00262,0.00969,0.00355,0.0121,1,0.0124135,0.0004975,0.0935106278921094
