Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,normCross,normCrossError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,RL_fortran_qvcenter_ex,RT_fortran_qvcenter_ex,RL_fortran_qvdata_ex,RT_fortran_qvdata_ex,RL_fortran_q2center_nu,RT_fortran_q2center_nu,RL_fortran_q2data_nu,RT_fortran_q2data_nu,RL_fortran_q2center_ex,RT_fortran_q2center_ex,RL_fortran_q2data_ex,RT_fortran_q2data_ex,RL_fortran_qvcenter_w2,RT_fortran_qvcenter_w2,RL_fortran_qvdata_w2,RT_fortran_qvdata_w2,RL_fortran_q2center_w2,RT_fortran_q2center_w2,RL_fortran_q2data_w2,RT_fortran_q2data_w2,bc_qv_ex,bc_qv_nu,bc_qv_w2,bc_q2_ex,bc_q2_nu,bc_q2_w2
6,12,0.68,36,0.0125,3770,240,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,3739.2745,238.2205069,0.007809654,0.004690346,2.894010933,0.0031,0.6831,0.6675,0.6706,1.00913843,0.173374373,0.174973611,0.175129861,0.418485198,0.728839437,0.825536029,-0.000964556,-3876678.565,-248819.0839,0.002857355,0.002844388,292.0773168,289.4323595,1092157.263,69578.80646,2.80486906,0.178691703,1082267.041,68948.72338,2.779469076,0.177073529,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,2.88E-07,6.29E-09,0.0047,1.15E-09,0.0115,2.63E-09,0.00451,1.17E-09,0.000274,2.73E-09,0.0047,1.15E-09,0.00716,1.78E-09,0.00453,1.17E-09,3.00E-12,8.69E-15,0.0047,1.15E-09,4.20E-10,7.33E-12,0.0047,1.15E-09,1,1,1,1,1,1
6,12,0.68,36,0.0225,8200,390,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,8133.17,387.3352194,0.007809654,0.014690346,2.894010933,0.0031,0.6831,0.6575,0.6606,1.00913843,0.170777004,0.172364401,0.172870651,0.415777165,0.750214107,0.825241992,-0.000827091,-9833463.541,-471532.1063,0.002857355,0.002844388,293.1670835,290.5122576,2384377.728,113553.9366,6.123538747,0.291628261,2362785.578,112525.629,6.068085969,0.28898737,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.00668,0.015,0.00412,9.58E-06,0.00749,7.81E-06,0.00436,4.75E-06,0.00338,0.00101,0.00412,9.58E-06,0.00567,5.84E-06,0.00436,4.69E-06,5.11E-09,2.11E-10,0.00412,9.58E-06,0.000216,2.12E-08,0.00412,9.58E-06,1,1,1,1,1,1
6,12,0.68,36,0.0325,11500,500,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,11406.275,496.7130103,0.007809654,0.024690346,2.894010933,0.0031,0.6831,0.6475,0.6506,1.00913843,0.168179635,0.169755191,0.170811441,0.413293408,0.771588776,0.82476988,-0.000689386,-16545546.08,-725282.6222,0.002857355,0.002844388,294.9219385,292.2512212,3363960.734,146491.5639,8.639295551,0.376218397,3333497.798,145164.9839,8.561060896,0.372811486,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.00537,0.00703,0.00293,0.00487,0.00487,0.00632,0.00285,0.00474,0.00367,0.00562,0.00293,0.00487,0.00346,0.00529,0.00285,0.00474,0.00398,1.32E-06,0.00293,0.00487,0.00215,0.0124,0.00293,0.00487,1,1,1,1,1,1
6,12,0.68,36,0.0425,14740,610,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,14619.869,606.0895495,0.007809654,0.034690346,2.894010933,0.0031,0.6831,0.6375,0.6406,1.00913843,0.165582266,0.167145981,0.168952231,0.411037992,0.792963446,0.824111969,-0.000551838,-26493032.52,-1105396.351,0.002857355,0.002844388,297.3779123,294.6849545,4347626.121,180237.6449,11.16553669,0.462884798,4308255.431,178605.4713,11.06442522,0.458693063,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.00966,0.0116,0.0061,0.00872,0.009,0.0109,0.00599,0.00859,0.007,0.00952,0.0061,0.00872,0.00676,0.00925,0.00599,0.00859,0.00421,0.00537,0.0061,0.00872,0.00558,0.00796,0.0061,0.00872,1.39429409,1.466408628,0.654135125,1.104589441,1.121718941,0.913250221
6,12,0.68,36,0.0525,18490,740,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,18339.3065,735.345215,0.007809654,0.044690346,2.894010933,0.0031,0.6831,0.6275,0.6306,1.00913843,0.162984897,0.164536771,0.167293021,0.409014696,0.814338116,0.823260305,-0.00041486,-44206017.14,-1783734.444,0.002857355,0.002844388,300.5753658,297.8534529,5512343.76,221026.657,14.1567547,0.567638794,5462425.765,219025.1114,14.02855572,0.562498441,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.0125,0.0162,0.00885,0.013,0.0123,0.0155,0.00879,0.0128,0.0095,0.0136,0.00885,0.013,0.00943,0.0134,0.0088,0.0128,0.0089,0.0109,0.00885,0.013,0.00917,0.0126,0.00885,0.013,1.311651957,1.334920508,0.924150169,1.060127098,1.060697404,1.003837439
6,12,0.68,36,0.0625,23630,910,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,23437.4155,904.4111697,0.007809654,0.054690346,2.894010933,0.0031,0.6831,0.6175,0.6206,1.00913843,0.160387528,0.161927562,0.165833812,0.407226978,0.835712786,0.8222067,-0.000278878,-84041719.99,-3263071.613,0.002857355,0.002844388,304.559483,301.8014912,7138087.148,275446.9983,18.33197514,0.707400655,7073446.949,272952.6397,18.16596672,0.700994664,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.013,0.0202,0.00975,0.0172,0.0129,0.0196,0.0097,0.017,0.01,0.0175,0.00975,0.0172,0.00997,0.0173,0.00971,0.017,0.0124,0.0158,0.00975,0.0172,0.00995,0.0171,0.00975,0.0172,1.239711021,1.252349837,1.084437352,1.022165097,1.021499859,1.006473801
6,12,0.68,36,0.0725,26870,1020,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,26651.0095,1013.795308,0.007809654,0.064690346,2.894010933,0.0031,0.6831,0.6075,0.6106,1.00913843,0.157790159,0.159318352,0.164574602,0.405677953,0.857087456,0.820942736,-0.000144329,-184654409.5,-7067180.614,0.002857355,0.002844388,309.380817,306.5791648,8245311.094,313648.8206,21.17553832,0.805510253,8170644.234,310808.5188,20.98377952,0.798215813,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.0144,0.0233,0.0112,0.0209,0.0141,0.0228,0.0111,0.0207,0.0112,0.0208,0.0112,0.0209,0.0111,0.0206,0.0112,0.0207,0.013,0.0202,0.0112,0.0209,0.0112,0.0209,0.0112,0.0209,1.181883194,1.196221511,1.053202098,0.993201678,0.997343012,1.000099046
6,12,0.68,36,0.0825,29420,1120,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,29180.227,1113.173806,0.007809654,0.074690346,2.894010933,0.0031,0.6831,0.5975,0.6006,1.00913843,0.15519279,0.156709142,0.163515392,0.404370365,0.878462126,0.819459761,-1.17E-05,-2504308987,-96120776.09,0.002857355,0.002844388,315.0958973,312.2424911,9194569.809,350756.4993,23.61341654,0.900809879,9111306.771,347580.1623,23.39958111,0.892652438,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.0158,0.0251,0.013,0.0237,0.0156,0.0249,0.0129,0.0235,0.0125,0.0233,0.013,0.0237,0.0124,0.0232,0.0129,0.0235,0.0145,0.0234,0.013,0.0237,0.0127,0.0237,0.013,0.0237,1.132189492,1.134705991,1.044054714,0.974744951,0.972680816,0.989800636
6,12,0.68,36,0.0925,31890,1210,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,31630.0965,1202.641853,0.007809654,0.084690346,2.894010933,0.0031,0.6831,0.5875,0.5906,1.00913843,0.152595421,0.154099932,0.162656182,0.403306561,0.899836795,0.817748897,0.000118715,266438144.1,10192512.51,0.002857355,0.002844388,321.7679044,318.8540788,10177549.87,386971.5488,26.13789763,0.993817064,10085385.28,383467.2601,25.90120131,0.984817379,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.0166,0.0257,0.0143,0.0253,0.0165,0.0257,0.0142,0.0252,0.0135,0.0249,0.0143,0.0253,0.0135,0.0249,0.0142,0.0252,0.0159,0.0253,0.0143,0.0253,0.0137,0.0252,0.0143,0.0253,1.089941471,1.08735114,1.049888536,0.969642948,0.964433911,0.979132974
6,12,0.68,36,0.1025,31620,1230,25,0.628318531,0.095491503,0.904508497,0.105572809,0.99185,0.002432,31362.297,1222.396747,0.007809654,0.094690346,2.894010933,0.0031,0.6831,0.5775,0.5806,1.00913843,0.149998053,0.151490722,0.161996972,0.402488475,0.921211465,0.815801035,0.000246339,127313569.7,4993119.308,0.002857355,0.002844388,329.4674209,326.483871,10332855.11,402739.9035,26.53675123,1.034313219,10239284.13,399092.8217,26.29644303,1.024946814,"[0.340,0.428]",0.38,"[0.145,0.206]",0.16,0.0166,0.0249,0.015,0.0256,0.0167,0.0252,0.0149,0.0256,0.014,0.0255,0.015,0.0256,0.014,0.0255,0.0149,0.0256,0.0166,0.0257,0.015,0.0256,0.0141,0.0255,0.015,0.0256,1.052989515,1.040289163,1.050351452,0.967700711,0.964655544,0.970722904
