Z,A,E0,ThetaDeg,nu,cross,error,dataSet,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),normalization,normError,normCross,normCrossError,nu_elastic,Ex,R,Veff,Eeff,Eprime,Eprime_eff,F2foc,Q2,Q2eff,q3momt_squared,q3momt,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,RL_fortran_qvcenter_ex,RT_fortran_qvcenter_ex,RL_fortran_qvdata_ex,RT_fortran_qvdata_ex,RL_fortran_q2center_nu,RT_fortran_q2center_nu,RL_fortran_q2data_nu,RT_fortran_q2data_nu,RL_fortran_q2center_ex,RT_fortran_q2center_ex,RL_fortran_q2data_ex,RT_fortran_q2data_ex,RL_fortran_qvcenter_w2,RT_fortran_qvcenter_w2,RL_fortran_qvdata_w2,RT_fortran_qvdata_w2,RL_fortran_q2center_w2,RT_fortran_q2center_w2,RL_fortran_q2data_w2,RT_fortran_q2data_w2,bc_qv_ex,bc_qv_nu,bc_qv_w2,bc_q2_ex,bc_q2_nu,bc_q2_w2
6,12,1.2044,45.0,0.1702,41.1,1.59,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,41.022732000000005,1.5872502496259318,0.03684621274352873,0.13335378725647126,2.894010933453939,0.0031,1.2075,1.0342,1.0373,1.0051544163705735,0.7296500100211866,0.7337207981385943,0.7626888381385942,0.8733205815384143,0.4660235535904058,0.7370861626228343,-0.000364526421132294,-112537.06075015073,-4361.823746715349,0.00036545123190091534,0.00036451301341736017,2190.5578898244526,2179.324742693915,89862.66924475406,3476.9635574439167,0.2307845483079118,0.008929508446964012,89401.85486050145,3459.1337418568864,0.22960108869762727,0.008883718065137509,"[0.702,0.878]",0.756,"[0.650,1.050]",0.8,0.000501,0.00306,3.57e-05,0.000428,0.000342,0.00227,3.12e-05,0.000388,1.5e-05,0.000231,3.57e-05,0.000428,1.46e-05,0.000226,3.17e-05,0.000393,2.08e-05,0.00023,3.57e-05,0.000428,4.09e-05,0.000469,3.57e-05,0.000428,6.443981972069743,7.963276339564061,0.5291976325011309,0.5616867731002984,0.5255548417806897,1.1136223918466097
6,12,1.2044,45.0,0.1857,65.8,2.02,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,65.676296,2.016685468589684,0.03684621274352873,0.14885378725647128,2.894010933453939,0.0031,1.2075,1.0187,1.0218,1.0051544163705735,0.71871443164628,0.7227570727253596,0.7572415627253596,0.8701962782759758,0.5060737420036405,0.7355547716774605,-0.0003273836922094663,-200609.5525307322,-6170.13018078972,0.00036545123190091517,0.00036451301341736,2220.7647625596337,2209.376715050812,145851.60389223622,4478.5840258100325,0.3745748574702972,0.01150186167562495,145103.67911318477,4455.617915883383,0.37265404336859764,0.01144288030604894,"[0.702,0.878]",0.756,"[0.650,1.050]",0.8,0.000766,0.00427,6.48e-05,0.000659,0.000545,0.00326,5.58e-05,0.000592,2.36e-05,0.000317,6.48e-05,0.000659,2.29e-05,0.00031,5.69e-05,0.0006,4.3e-05,0.000443,6.48e-05,0.000659,7.25e-05,0.000703,6.48e-05,0.000659,6.081271640949098,7.217184568274536,0.6542824822314126,0.5012414906678581,0.46499928195772555,1.0879534838049298
6,12,1.2044,45.0,0.2011,106.0,2.49,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,105.80072,2.4863357133491504,0.03684621274352873,0.16425378725647127,2.894010933453939,0.0031,1.2075,1.0032999999999999,1.0064,1.0051544163705735,0.7078494053899211,0.7118640810244684,0.7523052910244684,0.8673553429964379,0.5458655421045316,0.7338695675063687,-0.00029072525522754253,-363919.9488093758,-8564.787390249763,0.0003654512319009152,0.00036451301341736006,2254.3238511745544,2242.7637131760316,238509.0865674407,5605.00590063009,0.6125370220294538,0.014394728822453821,237286.01564389764,5576.263516673118,0.6093959416118486,0.014320912874690957,"[0.702,0.878]",0.756,"[0.650,1.050]",0.8,0.00109,0.00565,0.000115,0.001,0.000815,0.00449,9.81e-05,0.000891,3.62e-05,0.00043,0.000115,0.001,3.52e-05,0.000421,0.0001,0.000906,8.68e-05,0.000788,0.000115,0.001,0.000124,0.00103,0.000115,0.001,5.55277191971587,6.266370471897759,0.7631777849082804,0.4473165217024673,0.411936344992918,1.0535481342656488
6,12,1.2044,45.0,0.2166,160.0,3.18,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,159.6992,3.175835649620981,0.03684621274352873,0.17975378725647126,2.894010933453939,0.0031,1.2075,0.9877999999999999,0.9908999999999999,1.0051544163705735,0.6969138270150145,0.7009003556112339,0.7478159156112338,0.8647635027053546,0.585915730517766,0.7320030103759567,-0.0002541329028964931,-628408.1997247109,-12513.137668345118,0.00036545123190091534,0.00036451301341736017,2291.8863036294874,2280.133545953133,366012.4091805862,7278.654227944583,0.9399899784610874,0.01869297832351809,364135.50318187854,7241.329401134659,0.9351697243247631,0.01859712101849482,"[0.702,0.878]",0.756,"[0.650,1.050]",0.8,0.00144,0.00712,0.000199,0.0015,0.00114,0.00587,0.000169,0.00133,5.53e-05,0.00058,0.000199,0.0015,5.37e-05,0.000568,0.000173,0.00135,0.000171,0.00134,0.000199,0.0015,0.0002,0.00148,0.000199,0.0015,4.838996291124262,5.214715587518442,0.8649390326295953,0.4014598419101861,0.3673722604816367,1.0081066264925946
6,12,1.2044,45.0,0.2321,233.0,4.02,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,232.56196,4.0154852570561035,0.03684621274352873,0.19525378725647127,2.894010933453939,0.0031,1.2075,0.9722999999999999,0.9753999999999999,1.0051544163705735,0.6859782486401079,0.6899366301979993,0.7438070401979994,0.8624424851536474,0.6259659189310006,0.7299596960415226,-0.00021790402065270802,-1067267.8700621754,-18448.48933011205,0.00036545123190091534,0.00036451301341736017,2333.48170168333,2321.5156434462083,542679.0781676105,9370.061370719599,1.3937038258896057,0.024064112486678384,539896.2282105114,9322.011840283363,1.3865569341295962,0.02394071208836692,"[0.702,0.878]",0.756,"[0.650,1.050]",0.8,0.0018,0.00854,0.000327,0.00219,0.00149,0.00731,0.000278,0.00193,8.31e-05,0.000774,0.000327,0.00219,8.08e-05,0.000759,0.000286,0.00198,0.000322,0.00217,0.000327,0.00219,0.000303,0.00203,0.000327,0.00219,4.120560024759478,4.247677456686923,0.9641532832128029,0.3636448493901671,0.3337945605217728,0.9466170228897792
6,12,1.2044,45.0,0.2476,337.0,5.06,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,336.36644,5.055543727086697,0.03684621274352873,0.21075378725647126,2.894010933453939,0.0031,1.2075,0.9567999999999999,0.9598999999999999,1.0051544163705735,0.6750426702652013,0.6789729047847647,0.7402786647847647,0.8603944820748007,0.6660161073442353,0.7277336946893753,-0.0001820970205785102,-1847182.5564821765,-27787.384900229084,0.0003654512319009154,0.0003645130134173602,2379.3669088676365,2367.165551994578,800339.1765896113,12028.993450563445,2.055424314842975,0.030892759400747222,796235.0496150511,11967.308957361907,2.0448841306042627,0.03073434180620253,"[0.702,0.878]",0.756,"[0.650,1.050]",0.8,0.00213,0.00981,0.000502,0.00306,0.00184,0.00869,0.000431,0.00271,0.000122,0.00102,0.000502,0.00306,0.000119,0.001,0.000445,0.00278,0.000563,0.00335,0.000502,0.00306,0.000426,0.00266,0.000502,0.00306,3.465158929695433,3.4642397254393003,1.0713771533334022,0.33974901165690247,0.3136836375642765,0.8861444014481596
6,12,1.2044,45.0,0.2631,443.0,5.8,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,442.16716,5.796717738943858,0.03684621274352873,0.22625378725647127,2.894010933453939,0.0031,1.2075,0.9412999999999999,0.9443999999999999,1.0051544163705735,0.6641070918902948,0.6680091793715301,0.7372307893715302,0.8586214470717175,0.7060662957574699,0.7253189570746287,-0.00014676985933131606,-3012656.42697019,-39517.650466007246,0.0003654512319009152,0.00036451301341736006,2429.8219554300604,2417.3618658550968,1074387.4733381565,14084.992031516684,2.7592328363482244,0.03617295759444489,1068878.0309174492,14012.764409248663,2.745083532847921,0.035987463224863236,"[0.702,0.878]",0.756,"[0.650,1.050]",0.8,0.00243,0.0108,0.000715,0.00406,0.00216,0.00992,0.000626,0.00364,0.000175,0.00133,0.000715,0.00406,0.000171,0.00131,0.000646,0.00374,0.000892,0.00482,0.000715,0.00406,0.000557,0.00331,0.000715,0.00406,2.927829161480754,2.8658175933702545,1.1682725724339744,0.33001383277363083,0.30789555207358044,0.829663184829875
6,12,1.2044,45.0,0.2786,553.0,6.31,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,551.96036,6.30905173305677,0.03684621274352873,0.2417537872564713,2.894010933453939,0.0031,1.2075,0.9258,0.9289,1.0051544163705735,0.6531715135153883,0.6570454539582957,0.7346634139582957,0.8571250865295542,0.7461164841707044,0.722709317495465,-0.00011197964814695957,-4929113.18381372,-56349.52515406101,0.00036545123190091517,0.00036451301341736,2485.1522734084347,2472.4084508148107,1371705.543485338,15678.954257457457,3.522802593393951,0.040266557922871475,1364671.4585787854,15598.552821437386,3.504737715936363,0.04006007163383569,"[0.702,0.878]",0.756,"[0.650,1.050]",0.8,0.00266,0.0116,0.000951,0.00512,0.00245,0.0109,0.000847,0.00466,0.000242,0.0017,0.000951,0.00512,0.000237,0.00168,0.000874,0.00478,0.00128,0.00646,0.000951,0.00512,0.000684,0.00392,0.000951,0.00512,2.5104546897163127,2.4322697785584397,1.2463172937250009,0.33074655253106194,0.3119588647555187,0.7782912110187074
6,12,1.2044,45.0,0.2941,677.0,6.78,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,675.72724,6.782473785274478,0.03684621274352873,0.25725378725647124,2.894010933453939,0.0031,1.2075,0.9102999999999999,0.9133999999999999,1.0051544163705735,0.6422359351404816,0.646081728545061,0.7325765385450609,0.8559068515586616,0.786166672583939,0.7198984973287746,-7.77822606578913e-05,-8687420.940001247,-87166.40455875132,0.0003654512319009153,0.0003645130134173601,2545.6911653134657,2532.636900214283,1720192.8650296521,17266.08359414342,4.417784789778392,0.044342610082814274,1711371.742503953,17177.543383322187,4.395130457397974,0.044115221861062134,"[0.702,0.878]",0.756,"[0.438,0.650]",0.5,0.0028,0.0119,0.00119,0.00616,0.00267,0.0116,0.00108,0.00568,0.00265,0.0115,0.00119,0.00616,0.00259,0.0114,0.00111,0.00583,0.00168,0.00807,0.00119,0.00616,0.00178,0.00842,0.00119,0.00616,2.1903635195260356,2.0755833429894315,1.2977658718869702,2.0833037224705295,1.989511885805957,1.353222310018971
6,12,1.2044,45.0,0.3406,922.0,8.5,12,0.7853981633974483,0.14644660940672624,0.8535533905932737,0.1715728752538099,0.99812,0.00067079,920.26664,8.506532695373588,0.03684621274352873,0.3037537872564713,2.894010933453939,0.0031,1.2075,0.8637999999999999,0.8668999999999999,1.0051544163705735,0.6094292000157618,0.6131905523053574,0.7291989123053574,0.8539314447339186,0.9063172378236426,0.7101945646502911,2.072089093448812e-05,44412503.44444873,410214.0215338178,0.00036545123190091534,0.00036451301341736017,2762.3697770651606,2748.2043873811613,2542116.7531773048,23498.18882531664,6.528642778572355,0.060347850110420605,2529080.81760852,23377.69047482699,6.495163998926727,0.06003838726424296,"[0.702,0.878]",0.756,"[0.438,0.650]",0.5,0.00275,0.0112,0.00179,0.00854,0.00284,0.0117,0.0017,0.00822,0.00255,0.0109,0.00179,0.00854,0.00262,0.0112,0.00174,0.0084,0.00264,0.0115,0.00179,0.00854,0.00259,0.0114,0.00179,0.00854,1.535180291858696,1.4142480996730056,1.341849591785894,1.406025903843986,1.3427906507131226,1.3285325686591087
