Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.1196,90,0.0071,86760,9860,1
6,12,0.1196,90,0.0121,26350,5890,1
6,12,0.1196,90,0.0171,25810,4670,1
6,12,0.1196,90,0.0221,40060,4770,1
6,12,0.1196,145,0.0021,17100,700,1
6,12,0.1196,145,0.0071,4800,340,1
6,12,0.1196,145,0.0121,2390,210,1
6,12,0.1196,145,0.0171,3280,260,1
6,12,0.1196,145,0.0221,7220,410,1
6,12,0.1597,90,0.0022,122300,5450,1
6,12,0.1597,90,0.0072,45470,2170,1
6,12,0.1597,90,0.0122,22240,1400,1
6,12,0.1597,90,0.0172,13940,1140,1
6,12,0.1597,90,0.0222,19770,1330,1
6,12,0.1597,90,0.0272,22000,1360,1
6,12,0.1597,90,0.0322,23400,1470,1
6,12,0.1597,90,0.0372,22540,1420,1
6,12,0.1597,90,0.0422,21370,1400,1
6,12,0.1597,90,0.0472,19390,1380,1
6,12,0.1597,90,0.0522,17230,1350,1
6,12,0.1597,90,0.0572,14640,1310,1
6,12,0.1597,90,0.0622,12000,1270,1
6,12,0.1597,145,0.0022,718,71,1
6,12,0.1597,145,0.0072,1331,73,1
6,12,0.1597,145,0.0122,947,51,1
6,12,0.1597,145,0.0172,1055,58,1
6,12,0.1597,145,0.0222,3930,170,1
6,12,0.1597,145,0.0272,2770,120,1
6,12,0.1597,145,0.0322,3320,160,1
6,12,0.1597,145,0.0372,4030,180,1
6,12,0.1597,145,0.0422,4900,220,1
6,12,0.1597,145,0.0472,5420,250,1
6,12,0.1597,145,0.0522,5620,270,1
6,12,0.1597,145,0.0572,5500,280,1
6,12,0.1597,145,0.0622,5130,280,1
6,12,0.16,36,0.0125,410600,183200,1
6,12,0.16,36,0.0175,409000,147500,1
6,12,0.16,36,0.0225,790800,146500,1
6,12,0.16,36,0.0275,542100,123000,1
6,12,0.161,60,0.0084,146800,19250,1
6,12,0.161,60,0.0134,81090,10790,1
6,12,0.161,60,0.0184,96280,9250,1
6,12,0.161,60,0.0234,147100,9330,1
6,12,0.161,60,0.0284,132800,8350,1
6,12,0.161,60,0.0334,101000,7350,1
6,12,0.161,60,0.0384,84780,6800,1
6,12,0.161,60,0.0434,71350,6380,1
6,12,0.161,60,0.0484,58670,6040,1
6,12,0.1999,90,0.0049,1750,110,1
6,12,0.1999,90,0.0099,20370,810,1
6,12,0.1999,90,0.0149,12140,470,1
6,12,0.1999,90,0.0199,9460,420,1
6,12,0.1999,90,0.0249,11500,490,1
6,12,0.1999,90,0.0299,11750,520,1
6,12,0.1999,90,0.0349,12570,540,1
6,12,0.1999,90,0.0399,14300,630,1
6,12,0.1999,90,0.0449,15130,670,1
6,12,0.1999,90,0.0499,15350,670,1
6,12,0.1999,90,0.0549,15280,700,1
6,12,0.1999,90,0.0599,13750,680,1
6,12,0.1999,90,0.0649,12280,650,1
6,12,0.1999,90,0.0699,10840,630,1
6,12,0.1999,90,0.0749,9560,620,1
6,12,0.1999,90,0.0799,7970,570,1
6,12,0.1999,90,0.0849,6050,560,1
6,12,0.1999,90,0.0899,5340,670,1
6,12,0.1999,90,0.0949,4560,570,1
6,12,0.1999,90,0.0999,3700,570,1
6,12,0.1999,145,0.0099,238,19,1
6,12,0.1999,145,0.0149,207,13,1
6,12,0.1999,145,0.0199,840,45,1
6,12,0.1999,145,0.0249,2082,80,1
6,12,0.1999,145,0.0299,1520,67,1
6,12,0.1999,145,0.0349,1822,74,1
6,12,0.1999,145,0.0399,2130,90,1
6,12,0.1999,145,0.0449,2520,100,1
6,12,0.1999,145,0.0499,2940,110,1
6,12,0.1999,145,0.0549,3400,140,1
6,12,0.1999,145,0.0599,3660,150,1
6,12,0.1999,145,0.0649,3750,160,1
6,12,0.1999,145,0.0699,3860,170,1
6,12,0.1999,145,0.0749,3930,180,1
6,12,0.1999,145,0.0799,3730,170,1
6,12,0.1999,145,0.0849,3440,180,1
6,12,0.1999,145,0.0899,3100,170,1
6,12,0.1999,145,0.0949,2820,160,1
6,12,0.1999,145,0.0999,2480,150,1
6,12,0.2,36,0.0175,435600,78200,1
6,12,0.2,36,0.0225,601100,75400,1
6,12,0.2,36,0.0275,650100,70570,1
6,12,0.2,36,0.0325,455800,58990,1
6,12,0.2,36,0.0375,375600,53380,1
6,12,0.2,36,0.0425,276200,47410,1
6,12,0.2,36,0.0475,200300,42920,1
6,12,0.2,60,0.0075,164000,12880,1
6,12,0.2,60,0.0125,84410,5990,1
6,12,0.2,60,0.0175,51280,4270,1
6,12,0.2,60,0.0225,77990,4760,1
6,12,0.2,60,0.0275,82410,4700,1
6,12,0.2,60,0.0325,74080,4350,1
6,12,0.2,60,0.0375,68520,4170,1
6,12,0.2,60,0.0425,64950,4070,1
6,12,0.2,60,0.0475,56440,3840,1
6,12,0.2,60,0.0525,47050,3640,1
6,12,0.2,60,0.0575,39000,3570,1
6,12,0.2,60,0.0625,31660,3380,1
6,12,0.2,60,0.0675,26050,3200,1
6,12,0.24,36,0.0125,361300,50450,1
6,12,0.24,36,0.0175,304100,41200,1
6,12,0.24,36,0.0225,497200,43530,1
6,12,0.24,36,0.0275,462100,39490,1
6,12,0.24,36,0.0325,361500,34100,1
6,12,0.24,36,0.0375,291200,30190,1
6,12,0.24,36,0.0425,260000,28030,1
6,12,0.24,36,0.0475,206600,25240,1
6,12,0.24,36,0.0525,197900,24360,1
6,12,0.24,36,0.0575,138300,19810,1
6,12,0.24,36,0.0625,102200,18420,1
6,12,0.24,60,0.0029,270700,7180,1
6,12,0.24,60,0.0079,106700,4120,1
6,12,0.24,60,0.0129,60580,1800,1
6,12,0.24,60,0.0179,33090,1320,1
6,12,0.24,60,0.0229,43270,1400,1
6,12,0.24,60,0.0279,45830,1370,1
6,12,0.24,60,0.0329,48900,1400,1
6,12,0.24,60,0.0379,47980,1400,1
6,12,0.24,60,0.0429,48650,1440,1
6,12,0.24,60,0.0479,46260,1420,1
6,12,0.24,60,0.0529,43750,1410,1
6,12,0.24,60,0.0579,39630,1390,1
6,12,0.24,60,0.0629,33680,1310,1
6,12,0.24,60,0.0679,29580,1250,1
6,12,0.24,60,0.0729,24830,1220,1
6,12,0.24,60,0.0779,19880,1160,1
6,12,0.24,60,0.0829,16970,1110,1
6,12,0.24,60,0.0879,14830,1110,1
