Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.1196,90,0.0071,86760,9860,1
6,12,0.1196,90,0.0121,26350,5890,1
6,12,0.1196,90,0.0171,25810,4670,1
6,12,0.1196,90,0.0221,40060,4770,1
6,12,0.1196,145,0.0021,17100,700,1
6,12,0.1196,145,0.0071,4800,340,1
6,12,0.1196,145,0.0121,2390,210,1
6,12,0.1196,145,0.0171,3280,260,1
6,12,0.1196,145,0.0221,7220,410,1
6,12,0.1597,90,0.0022,122300,5450,1
6,12,0.1597,90,0.0072,45470,2170,1
6,12,0.1597,90,0.0122,22240,1400,1
6,12,0.1597,90,0.0172,13940,1140,1
6,12,0.1597,90,0.0222,19770,1330,1
6,12,0.1597,90,0.0272,22000,1360,1
6,12,0.1597,90,0.0322,23400,1470,1
6,12,0.1597,90,0.0372,22540,1420,1
6,12,0.1597,90,0.0422,21370,1400,1
6,12,0.1597,90,0.0472,19390,1380,1
6,12,0.1597,90,0.0522,17230,1350,1
6,12,0.1597,90,0.0572,14640,1310,1
6,12,0.1597,90,0.0622,12000,1270,1
6,12,0.1597,145,0.0022,718,71,1
6,12,0.1597,145,0.0072,1331,73,1
6,12,0.1597,145,0.0122,947,51,1
6,12,0.1597,145,0.0172,1055,58,1
6,12,0.1597,145,0.0222,3930,170,1
6,12,0.1597,145,0.0272,2770,120,1
6,12,0.1597,145,0.0322,3320,160,1
6,12,0.1597,145,0.0372,4030,180,1
6,12,0.1597,145,0.0422,4900,220,1
6,12,0.1597,145,0.0472,5420,250,1
6,12,0.1597,145,0.0522,5620,270,1
6,12,0.1597,145,0.0572,5500,280,1
6,12,0.1597,145,0.0622,5130,280,1
6,12,0.1999,90,0.0049,1750,110,1
6,12,0.1999,90,0.0099,20370,810,1
6,12,0.1999,90,0.0149,12140,470,1
6,12,0.1999,90,0.0199,9460,420,1
6,12,0.1999,90,0.0249,11500,490,1
6,12,0.1999,90,0.0299,11750,520,1
6,12,0.1999,90,0.0349,12570,540,1
6,12,0.1999,90,0.0399,14300,630,1
6,12,0.1999,90,0.0449,15130,670,1
6,12,0.1999,90,0.0499,15350,670,1
6,12,0.1999,90,0.0549,15280,700,1
6,12,0.1999,90,0.0599,13750,680,1
6,12,0.1999,90,0.0649,12280,650,1
6,12,0.1999,90,0.0699,10840,630,1
6,12,0.1999,90,0.0749,9560,620,1
6,12,0.1999,90,0.0799,7970,570,1
6,12,0.1999,90,0.0849,6050,560,1
6,12,0.1999,90,0.0899,5340,670,1
6,12,0.1999,90,0.0949,4560,570,1
6,12,0.1999,90,0.0999,3700,570,1
6,12,0.1999,145,0.0099,238,19,1
6,12,0.1999,145,0.0149,207,13,1
6,12,0.1999,145,0.0199,840,45,1
6,12,0.1999,145,0.0249,2082,80,1
6,12,0.1999,145,0.0299,1520,67,1
6,12,0.1999,145,0.0349,1822,74,1
6,12,0.1999,145,0.0399,2130,90,1
6,12,0.1999,145,0.0449,2520,100,1
6,12,0.1999,145,0.0499,2940,110,1
6,12,0.1999,145,0.0549,3400,140,1
6,12,0.1999,145,0.0599,3660,150,1
6,12,0.1999,145,0.0649,3750,160,1
6,12,0.1999,145,0.0699,3860,170,1
6,12,0.1999,145,0.0749,3930,180,1
6,12,0.1999,145,0.0799,3730,170,1
6,12,0.1999,145,0.0849,3440,180,1
6,12,0.1999,145,0.0899,3100,170,1
6,12,0.1999,145,0.0949,2820,160,1
6,12,0.1999,145,0.0999,2480,150,1
6,12,0.2411,90,0.0036,210,20,1
6,12,0.2411,90,0.0086,4570,160,1
6,12,0.2411,90,0.0136,4830,130,1
6,12,0.2411,90,0.0186,4020,140,1
6,12,0.2411,90,0.023,5860,190,1
6,12,0.2411,90,0.0286,4980,180,1
6,12,0.2411,90,0.0336,6010,200,1
6,12,0.2411,90,0.0386,6790,220,1
6,12,0.2411,90,0.0436,8100,290,1
6,12,0.2411,90,0.0486,8690,290,1
6,12,0.2411,90,0.0536,9400,310,1
6,12,0.2411,90,0.0586,9920,330,1
6,12,0.2411,90,0.0636,10330,350,1
6,12,0.2411,90,0.0686,9950,360,1
6,12,0.2411,90,0.0736,9970,360,1
6,12,0.2411,90,0.0785,9330,360,1
6,12,0.2411,90,0.0836,8480,350,1
6,12,0.2411,90,0.0886,7560,330,1
6,12,0.2411,90,0.0936,6660,320,1
6,12,0.2411,90,0.0986,5880,310,1
6,12,0.2411,90,0.1036,4910,290,1
6,12,0.2411,90,0.1086,4320,280,1
6,12,0.2411,90,0.1136,3560,270,1
6,12,0.2411,90,0.1186,3130,260,1
6,12,0.2411,90,0.1236,2630,260,1
6,12,0.2411,90,0.1286,2450,280,1
6,12,0.2411,90,0.1336,2070,280,1
6,12,0.2411,90,0.1386,1990,310,1
6,12,0.2411,145,0.0086,27,4,1
6,12,0.2411,145,0.0136,29,3,1
6,12,0.2411,145,0.0186,15,4,1
6,12,0.2411,145,0.0236,186,14,1
6,12,0.2411,145,0.0286,816,47,1
6,12,0.2411,145,0.0336,652,30,1
6,12,0.2411,145,0.0386,908,40,1
6,12,0.2411,145,0.0436,1070,53,1
6,12,0.2411,145,0.0586,1280,58,1
6,12,0.2411,145,0.0636,1913,70,1
6,12,0.2411,145,0.0686,2051,75,1
6,12,0.2411,145,0.0736,2182,81,1
6,12,0.2411,145,0.078,2410,90,1
6,12,0.2411,145,0.0836,2630,102,1
6,12,0.2411,145,0.0886,2657,102,1
6,12,0.2411,145,0.0936,2704,106,1
6,12,0.2411,145,0.0986,2613,114,1
6,12,0.2411,145,0.1036,2613,114,1
6,12,0.2411,145,0.1086,2400,110,1
6,12,0.2411,145,0.1136,2322,111,1
6,12,0.2411,145,0.1186,2063,101,1
6,12,0.2411,145,0.1236,1824,100,1
6,12,0.2411,145,0.1286,1582,100,1
6,12,0.2411,145,0.1336,1491,92,1
6,12,0.2411,145,0.1386,1253,87,1
6,12,0.2801,90,0.0076,140,20,1
6,12,0.2801,90,0.0126,1540,70,1
6,12,0.2801,90,0.0176,930,60,1
6,12,0.2801,90,0.0226,1910,70,1
6,12,0.2801,90,0.0276,3320,110,1
6,12,0.2801,90,0.0326,2840,100,1
6,12,0.2801,90,0.0376,3580,140,1
6,12,0.2801,90,0.0426,3960,130,1
6,12,0.2801,90,0.0476,4600,140,1
