Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6.0,12.0,0.68,36.0,0.0125,3770.0,240.0,25
6.0,12.0,0.68,36.0,0.0225,8200.0,390.0,25
6.0,12.0,0.68,36.0,0.0325,11500.0,500.0,25
6.0,12.0,0.68,36.0,0.0425,14740.0,610.0,25
6.0,12.0,0.68,36.0,0.0525,18490.0,740.0,25
6.0,12.0,0.68,36.0,0.0625,23630.0,910.0,25
6.0,12.0,0.68,36.0,0.0725,26870.0,1020.0,25
6.0,12.0,0.68,36.0,0.0825,29420.0,1120.0,25
6.0,12.0,0.68,36.0,0.0925,31890.0,1210.0,25
6.0,12.0,0.68,36.0,0.1025,31620.0,1230.0,25
6.0,12.0,0.68,36.0,0.1125,30230.0,1200.0,25
6.0,12.0,0.68,36.0,0.1225,28090.0,1150.0,25
6.0,12.0,0.68,36.0,0.1325,26550.0,1040.0,25
6.0,12.0,0.68,36.0,0.1425,22520.0,930.0,25
6.0,12.0,0.68,36.0,0.1525,19110.0,830.0,25
6.0,12.0,0.68,36.0,0.1625,16730.0,760.0,25
6.0,12.0,0.68,36.0,0.1725,12990.0,650.0,25
6.0,12.0,0.68,36.0,0.1825,11710.0,600.0,25
6.0,12.0,0.68,36.0,0.1925,10240.0,550.0,25
6.0,12.0,0.68,36.0,0.2025,9260.0,510.0,25
6.0,12.0,0.68,36.0,0.2125,8380.0,480.0,25
6.0,12.0,0.68,36.0,0.2225,7460.0,450.0,25
6.0,12.0,0.68,36.0,0.2325,8010.0,460.0,25
6.0,12.0,0.68,36.0,0.2425,7940.0,410.0,25
6.0,12.0,0.68,36.0,0.2525,8260.0,420.0,25
6.0,12.0,0.68,36.0,0.2625,8380.0,470.0,25
6.0,12.0,0.68,36.0,0.2725,9170.0,500.0,25
6.0,12.0,0.68,36.0,0.2825,9680.0,520.0,25
6.0,12.0,0.68,36.0,0.2925,10210.0,540.0,25
6.0,12.0,0.68,36.0,0.3025,10200.0,550.0,25
6.0,12.0,0.68,36.0,0.3125,10870.0,580.0,25
6.0,12.0,0.68,36.0,0.3225,10930.0,590.0,25
6.0,12.0,0.68,36.0,0.3325,11280.0,570.0,25
6.0,12.0,0.68,36.0,0.3425,11430.0,640.0,25
6.0,12.0,0.68,36.0,0.3525,11700.0,670.0,25
6.0,12.0,0.68,36.0,0.3625,11680.0,680.0,25
6.0,12.0,0.68,36.0,0.3725,11920.0,710.0,25
6.0,12.0,0.68,36.0,0.3825,10860.0,700.0,25
6.0,12.0,0.68,36.0,0.3925,10860.0,720.0,25
6.0,12.0,0.68,36.0,0.4025,9460.0,710.0,25
6.0,12.0,0.68,36.0,0.4125,9500.0,740.0,25
6.0,12.0,0.68,36.0,0.4225,9060.0,770.0,25
6.0,12.0,0.68,36.0,0.4325,8550.0,790.0,25
6.0,12.0,0.68,36.0,0.4425,8350.0,840.0,25
6.0,12.0,0.68,36.0,0.4525,8390.0,840.0,25
6.0,12.0,0.68,36.0,0.4625,7650.0,930.0,25
6.0,12.0,0.68,36.0,0.4725,7200.0,1000.0,25
6.0,12.0,0.68,36.0,0.4825,7200.0,1090.0,25
6.0,12.0,0.68,36.0,0.4925,7090.0,1210.0,25
6.0,12.0,0.68,36.0,0.5025,7050.0,1400.0,25
6.0,12.0,0.62,36.0,0.0125,16870.0,590.0,25
6.0,12.0,0.62,36.0,0.0225,18290.0,660.0,25
6.0,12.0,0.62,36.0,0.0325,18310.0,690.0,25
6.0,12.0,0.62,36.0,0.0425,25880.0,930.0,25
6.0,12.0,0.62,36.0,0.0525,30210.0,1080.0,25
6.0,12.0,0.62,36.0,0.0625,35980.0,1270.0,25
