qv,nu,RL,RLerr,qvcenter,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,bc_qv_nu,RLbc,RLerr_bc,Ex
0.55,0.0332535857142857,0.00038,0.0003599999999999,0.57,6.35e-05,0.000266,0.000118,0.000841,1,0.00038,0.0003599999999999,0.019772005868287194
0.55,0.03850944,0.000595,0.000505,0.57,0.000167,0.000703,0.000275,0.00103,1,0.000595,0.000505,0.025044731508727568
0.55,0.0434359457142857,0.00061,0.00049,0.57,0.000248,0.001,0.000392,0.00138,1,0.00061,0.00049,0.029989295212411227
0.55,0.0491538028571428,0.00073,0.0003,0.57,0.000357,0.00136,0.000566,0.00187,1,0.00073,0.0003,0.03573083346795505
0.55,0.0531883228571428,0.001095,0.000305,0.57,0.000441,0.00166,0.000694,0.00227,1,0.001095,0.000305,0.03978382284320272
0.55,0.0583847114285714,0.001325,0.000475,0.57,0.000545,0.0021,0.000841,0.00286,1,0.001325,0.000475,0.04500614525074878
0.55,0.0637732199999999,0.001245,0.000515,0.57,0.000646,0.00263,0.000981,0.00356,1,0.001245,0.000515,0.05042409777729316
0.55,0.0683337828571428,0.0015,0.00033,0.57,0.000747,0.00314,0.00112,0.00424,1,0.0015,0.00033,0.05501161010171102
0.55,0.0731962485714285,0.00173,0.00043,0.57,0.000886,0.00375,0.00132,0.00503,1,0.00173,0.00043,0.0599048588239303
0.55,0.0783606171428571,0.0027,0.0003999999999999,0.57,0.00107,0.00448,0.00159,0.00597,1,0.0027,0.0003999999999999,0.06510423793007347
0.55,0.0832276571428571,0.003085,0.000265,0.57,0.00128,0.00525,0.00187,0.00692,1,0.003085,0.000265,0.07000645670062633
0.55,0.0882502228571428,0.00331,0.0005,0.57,0.00153,0.00611,0.0022,0.00797,1,0.00331,0.0005,0.07506754714746018
0.55,0.0933871457142857,0.00337,0.0005,0.57,0.00181,0.00705,0.00256,0.00909,1,0.00337,0.0005,0.08024620632372663
0.55,0.0982541857142857,0.004065,0.000425,0.57,0.00209,0.008,0.00292,0.0102,1,0.004065,0.000425,0.0851549678314076
0.55,0.1030068685714285,0.00456,0.00082,0.57,0.00239,0.00896,0.00328,0.0113,1,0.00456,0.00082,0.08995043696348842
0.55,0.1082215542857142,0.00457,0.00087,0.57,0.00273,0.01,0.00368,0.0125,1,0.00457,0.00087,0.09521439311251756
0.55,0.1129467914285714,0.0049,0.00052,0.57,0.00304,0.011,0.00405,0.0135,1,0.0049,0.00052,0.09998637711894576
0.55,0.1182026457142857,0.005585,0.000495,0.57,0.0034,0.0121,0.00445,0.0147,1,0.005585,0.000495,0.10529657421016407
0.55,0.1229599028571428,0.00597,0.00084,0.57,0.00372,0.0131,0.0048,0.0156,1,0.00597,0.00084,0.11010514966831823
0.55,0.1280190628571428,0.00592,0.00089,0.57,0.00406,0.0141,0.00517,0.0166,1,0.00592,0.00089,0.11522110617682525
0.55,0.1327168542857142,0.006545,0.001085,0.57,0.00437,0.015,0.00549,0.0175,1,0.006545,0.001085,0.11997368750326186
0.55,0.1380138771428571,0.006455,0.0010149999999999,0.57,0.0047,0.0159,0.00583,0.0183,1,0.006455,0.0010149999999999,0.12533485720565918
0.55,0.14321484,0.00691,0.00112,0.57,0.00501,0.0168,0.00614,0.0191,1,0.00691,0.00112,0.13060124590428634
0.55,0.1481596428571428,0.0071249999999999,0.0012749999999999,0.57,0.00529,0.0175,0.0064,0.0196,1,0.0071249999999999,0.0012749999999999,0.13561049630908215
