Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,0.68,36,0.0125,3770,240,25
6,12,0.68,36,0.0225,8200,390,25
6,12,0.68,36,0.0325,11500,500,25
6,12,0.68,36,0.0425,14740,610,25
6,12,0.68,36,0.0525,18490,740,25
6,12,0.68,36,0.0625,23630,910,25
6,12,0.68,36,0.0725,26870,1020,25
6,12,0.68,36,0.0825,29420,1120,25
6,12,0.68,36,0.0925,31890,1210,25
6,12,0.68,36,0.1025,31620,1230,25
6,12,0.68,36,0.1125,30230,1200,25
6,12,0.68,36,0.1225,28090,1150,25
6,12,0.68,36,0.1325,26550,1040,25
6,12,0.68,36,0.1425,22520,930,25
6,12,0.68,36,0.1525,19110,830,25
6,12,0.68,36,0.1625,16730,760,25
6,12,0.68,36,0.1725,12990,650,25
6,12,0.68,36,0.1825,11710,600,25
6,12,0.68,36,0.1925,10240,550,25
6,12,0.68,36,0.2025,9260,510,25
6,12,0.68,36,0.2125,8380,480,25
6,12,0.68,36,0.2225,7460,450,25
6,12,0.68,36,0.2325,8010,460,25
6,12,0.68,36,0.2425,7940,410,25
6,12,0.68,36,0.2525,8260,420,25
6,12,0.68,36,0.2625,8380,470,25
6,12,0.68,36,0.2725,9170,500,25
6,12,0.68,36,0.2825,9680,520,25
6,12,0.68,36,0.2925,10210,540,25
6,12,0.68,36,0.3025,10200,550,25
6,12,0.68,36,0.3125,10870,580,25
6,12,0.68,36,0.3225,10930,590,25
6,12,0.68,36,0.3325,11280,570,25
6,12,0.68,36,0.3425,11430,640,25
6,12,0.68,36,0.3525,11700,670,25
6,12,0.68,36,0.3625,11680,680,25
6,12,0.68,36,0.3725,11920,710,25
6,12,0.68,36,0.3825,10860,700,25
6,12,0.68,36,0.3925,10860,720,25
6,12,0.68,36,0.4025,9460,710,25
6,12,0.68,36,0.4125,9500,740,25
6,12,0.68,36,0.4225,9060,770,25
6,12,0.68,36,0.4325,8550,790,25
6,12,0.68,36,0.4425,8350,840,25
6,12,0.68,36,0.4525,8390,840,25
6,12,0.68,36,0.4625,7650,930,25
6,12,0.68,36,0.4725,7200,1000,25
6,12,0.68,36,0.4825,7200,1090,25
6,12,0.68,36,0.4925,7090,1210,25
6,12,0.68,36,0.5025,7050,1400,25
6,12,0.62,36,0.0125,16870,590,25
6,12,0.62,36,0.0225,18290,660,25
6,12,0.62,36,0.0325,18310,690,25
6,12,0.62,36,0.0425,25880,930,25
6,12,0.62,36,0.0525,30210,1080,25
6,12,0.62,36,0.0625,35980,1270,25
6,12,0.62,36,0.0725,41130,1370,25
6,12,0.62,36,0.0825,42830,1450,25
6,12,0.62,36,0.0925,42220,1460,25
6,12,0.62,36,0.1025,39590,1410,25
6,12,0.62,36,0.1125,36340,1350,25
6,12,0.62,36,0.1225,30800,1200,25
6,12,0.62,36,0.1325,26490,1080,25
6,12,0.62,36,0.1425,21550,930,25
6,12,0.62,36,0.1525,17850,810,25
6,12,0.62,36,0.1625,14580,710,25
6,12,0.62,36,0.1725,12240,630,25
6,12,0.62,36,0.1825,10630,560,25
6,12,0.62,36,0.1925,9760,520,25
6,12,0.62,36,0.2025,9100,570,25
6,12,0.62,36,0.2125,8380,550,25
6,12,0.62,36,0.2225,8540,550,25
6,12,0.62,36,0.2325,9150,580,25
6,12,0.62,36,0.2425,9730,590,25
6,12,0.62,36,0.2525,9880,600,25
6,12,0.62,36,0.2625,10880,640,25
6,12,0.62,36,0.2725,11160,610,25
6,12,0.62,36,0.2825,11500,700,25
6,12,0.62,36,0.2925,12170,740,25
6,12,0.62,36,0.3025,12420,770,25
6,12,0.62,36,0.3125,12290,790,25
6,12,0.62,36,0.3225,13420,850,25
6,12,0.62,36,0.3325,13190,880,25
6,12,0.62,36,0.3425,13440,860,25
6,12,0.62,36,0.3525,12860,970,25
6,12,0.62,36,0.3625,12710,1010,25
6,12,0.62,36,0.3725,11580,1030,25
6,12,0.62,36,0.3825,12510,1120,25
6,12,0.62,36,0.3925,12170,1180,25
6,12,0.62,36,0.4025,11130,1210,25
6,12,0.62,36,0.4125,11570,1320,25
6,12,0.62,36,0.4225,9990,1370,25
6,12,0.62,36,0.4325,9720,1500,25
6,12,0.62,36,0.4425,10150,1610,25
6,12,0.56,36,0.0125,52550,1650,25
6,12,0.56,36,0.0225,30650,1090,25
6,12,0.56,36,0.0325,35030,1250,25
6,12,0.56,36,0.0425,44090,1550,25
6,12,0.56,36,0.0525,51190,2000,25
6,12,0.56,36,0.0625,55510,2170,25
6,12,0.56,36,0.0725,58570,2300,25
6,12,0.56,36,0.0825,55270,2250,25
6,12,0.56,36,0.0925,53500,2220,25
6,12,0.56,36,0.1025,45030,2000,25
6,12,0.56,36,0.1125,37340,1770,25
6,12,0.56,36,0.1225,30420,1350,25
6,12,0.56,36,0.1325,23200,1130,25
6,12,0.56,36,0.1425,18790,1040,25
6,12,0.56,36,0.1525,15700,940,25
6,12,0.56,36,0.1625,12760,840,25
6,12,0.56,36,0.1725,10740,760,25
6,12,0.56,36,0.1825,9150,710,25
6,12,0.56,36,0.1925,9990,730,25
6,12,0.56,36,0.2025,9560,720,25
6,12,0.56,36,0.2125,9830,630,25
6,12,0.56,36,0.2225,9760,670,25
6,12,0.56,36,0.2325,10560,710,25
6,12,0.56,36,0.24252,10890,740,25
6,12,0.56,36,0.2525,12560,810,25
6,12,0.56,36,0.2625,11700,820,25
6,12,0.56,36,0.2725,13180,900,25
6,12,0.56,36,0.2825,14010,920,25
6,12,0.56,36,0.2925,14230,1050,25
6,12,0.56,36,0.3025,13360,1080,25
6,12,0.56,36,0.3125,14040,1160,25
6,12,0.56,36,0.3225,13960,1230,25
6,12,0.56,36,0.3325,14960,1350,25
6,12,0.56,36,0.3425,14280,1460,25
6,12,0.56,36,0.3525,14780,1590,25
6,12,0.56,36,0.3625,13730,1680,25
6,12,0.56,36,0.3725,14170,1860,25
6,12,0.56,36,0.3825,12780,1920,25
6,12,0.48,36,0.0125,101700,3380,25
6,12,0.48,36,0.0175,82540,2880,25
6,12,0.48,36,0.0225,62480,2380,25
6,12,0.48,36,0.0275,60700,2360,25
6,12,0.48,36,0.0325,74870,2790,25
6,12,0.48,36,0.0375,76930,2880,25
6,12,0.48,36,0.0425,82520,2820,25
6,12,0.48,36,0.0475,86680,2970,25
6,12,0.48,36,0.0525,90870,3130,25
6,12,0.48,36,0.0575,90590,3180,25
6,12,0.48,36,0.0625,88260,3150,25
6,12,0.48,36,0.0675,86560,3130,25
6,12,0.48,36,0.0725,80110,2970,25
6,12,0.48,36,0.0775,74390,2820,25
6,12,0.48,36,0.0825,68270,2660,25
6,12,0.48,36,0.0875,62230,2490,25
6,12,0.48,36,0.0925,55530,2290,25
6,12,0.48,36,0.0975,48520,2090,25
6,12,0.48,36,0.1025,42720,1910,25
6,12,0.48,36,0.1075,36610,1730,25
6,12,0.48,36,0.1125,32870,1610,25
6,12,0.48,36,0.1175,28140,1460,25
6,12,0.48,36,0.1225,24910,1360,25
6,12,0.48,36,0.1275,22050,1240,25
6,12,0.48,36,0.1325,19570,1160,25
6,12,0.48,36,0.1375,17090,1230,25
6,12,0.48,36,0.1425,14850,1150,25
6,12,0.48,36,0.1475,14320,1130,25
6,12,0.48,36,0.1525,12820,1090,25
6,12,0.48,36,0.1575,11860,1060,25
6,12,0.48,36,0.1625,11580,1050,25
6,12,0.48,36,0.1675,11460,1050,25
6,12,0.48,36,0.1725,11510,1060,25
6,12,0.48,36,0.1775,11320,1060,25
6,12,0.48,36,0.1825,10280,1040,25
6,12,0.48,36,0.1875,9870,1040,25
6,12,0.48,36,0.1925,9100,1030,25
6,12,0.48,36,0.1975,9870,960,25
6,12,0.48,36,0.2025,10450,990,25
6,12,0.48,36,0.2075,11760,1130,25
6,12,0.48,36,0.2125,12070,1170,25
6,12,0.48,36,0.2175,12000,1190,25
6,12,0.48,36,0.2225,12410,1240,25
6,12,0.48,36,0.2275,13280,1300,25
6,12,0.48,36,0.2325,13460,1350,25
6,12,0.48,36,0.2375,13960,1410,25
6,12,0.48,36,0.2425,13920,1450,25
6,12,0.48,36,0.2475,14660,1520,25
6,12,0.48,36,0.2525,15660,1610,25
6,12,0.48,36,0.2575,14070,1610,25
6,12,0.48,36,0.2625,15270,1710,25
6,12,0.48,36,0.2675,14210,1740,25
6,12,0.48,36,0.2725,16380,1980,25
6,12,0.48,36,0.2775,16540,1970,25
6,12,0.48,36,0.2825,16230,2040,25
6,12,0.48,36,0.2875,16310,2140,25
6,12,0.48,36,0.2925,16800,2260,25
6,12,0.48,36,0.2975,15240,2240,25
6,12,0.48,36,0.3025,16810,2420,25
6,12,0.48,36,0.3075,19220,2720,25
6,12,0.4,36,0.0125,181000,7550,25
6,12,0.4,36,0.0175,124500,5700,25
6,12,0.4,36,0.0225,110900,5260,25
6,12,0.4,36,0.0275,125700,5650,25
6,12,0.4,36,0.0325,137900,5990,25
6,12,0.4,36,0.0375,139800,6060,25
6,12,0.4,36,0.0425,132400,5870,25
6,12,0.4,36,0.0475,134200,5510,25
6,12,0.4,36,0.0525,129900,5400,25
6,12,0.4,36,0.0575,122900,5190,25
6,12,0.4,36,0.0625,115400,4980,25
6,12,0.4,36,0.0675,96580,4440,25
6,12,0.4,36,0.0725,89120,4220,25
6,12,0.4,36,0.0775,77230,3850,25
6,12,0.4,36,0.0825,63340,3430,25
6,12,0.4,36,0.0875,56660,3210,25
6,12,0.4,36,0.0925,48490,2950,25
6,12,0.4,36,0.0975,41300,2720,25
6,12,0.4,36,0.1025,34030,2490,25
6,12,0.4,36,0.1075,30360,2370,25
6,12,0.4,36,0.1125,24060,2170,25
6,12,0.4,36,0.1175,21810,1970,25
6,12,0.4,36,0.1225,19590,2060,25
6,12,0.4,36,0.1275,16400,1960,25
6,12,0.4,36,0.1325,15700,1960,25
6,12,0.4,36,0.1375,13260,1900,25
6,12,0.4,36,0.1425,12450,1900,25
6,12,0.4,36,0.1475,13530,1960,25
6,12,0.4,36,0.1525,11870,1940,25
6,12,0.4,36,0.1575,10200,1920,25
6,12,0.32,36,0.0125,284100,17800,25
6,12,0.32,36,0.0175,154200,11790,25
6,12,0.32,36,0.0225,187100,11970,25
6,12,0.32,36,0.0275,260200,13810,25
6,12,0.32,36,0.0325,227700,12390,25
6,12,0.32,36,0.0375,204300,11440,25
6,12,0.32,36,0.0425,188000,10770,25
6,12,0.32,36,0.0475,175900,10270,25
6,12,0.32,36,0.0525,151700,9410,25
6,12,0.32,36,0.0575,133700,8770,25
6,12,0.32,36,0.0625,107500,7860,25
6,12,0.32,36,0.0675,91440,7270,25
6,12,0.32,36,0.0725,78750,6800,25
6,12,0.32,36,0.0775,61850,6190,25
6,12,0.32,36,0.0825,51520,5810,25
6,12,0.32,36,0.0875,43880,5520,25
6,12,0.32,36,0.0925,32750,4790,25
6,12,0.24,36,0.0125,361300,50450,25
6,12,0.24,36,0.0175,304100,41200,25
6,12,0.24,36,0.0225,497200,43530,25
6,12,0.24,36,0.0275,462100,39490,25
6,12,0.24,36,0.0325,361500,34100,25
6,12,0.24,36,0.0375,291200,30190,25
6,12,0.24,36,0.0425,260000,28030,25
6,12,0.24,36,0.0475,206600,25240,25
6,12,0.24,36,0.0525,137900,24360,25
6,12,0.24,36,0.0575,138300,19810,25
6,12,0.24,36,0.0625,102200,18420,25
6,12,0.2,36,0.0175,435600,78230,25
6,12,0.2,36,0.0225,601100,75240,25
6,12,0.2,36,0.0275,650100,70570,25
6,12,0.2,36,0.0325,455800,58990,25
6,12,0.2,36,0.0375,375600,53380,25
6,12,0.2,36,0.0425,276200,47410,25
6,12,0.2,36,0.0475,200300,42920,25
6,12,0.16,36,0.0125,410600,183200,25
6,12,0.16,36,0.0175,409000,147500,25
6,12,0.16,36,0.0225,790800,146500,25
6,12,0.16,36,0.0275,542100,123000,25
6,12,0.68,60,0.0475,50,10,25
6,12,0.68,60,0.0575,40,10,25
6,12,0.68,60,0.0675,120,10,25
6,12,0.68,60,0.0775,160,20,25
6,12,0.68,60,0.0875,310,20,25
6,12,0.68,60,0.0975,450,30,25
6,12,0.68,60,0.1075,610,40,25
6,12,0.68,60,0.1175,770,40,25
6,12,0.68,60,0.1275,1020,100,25
6,12,0.68,60,0.1375,1220,50,25
6,12,0.68,60,0.1475,1570,60,25
6,12,0.68,60,0.1575,1830,70,25
6,12,0.68,60,0.1675,1990,80,25
6,12,0.68,60,0.1775,2240,90,25
6,12,0.68,60,0.1875,2400,100,25
6,12,0.68,60,0.1975,2510,100,25
6,12,0.68,60,0.2075,2450,100,25
6,12,0.68,60,0.2175,2530,100,25
6,12,0.68,60,0.2275,2430,100,25
6,12,0.68,60,0.2375,2290,100,25
6,12,0.68,60,0.2475,2130,90,25
6,12,0.68,60,0.2575,1950,90,25
6,12,0.68,60,0.2675,1620,80,25
6,12,0.68,60,0.2775,1600,80,25
6,12,0.68,60,0.2875,1470,80,25
6,12,0.68,60,0.2975,1440,70,25
6,12,0.68,60,0.3075,1390,70,25
6,12,0.68,60,0.3175,1510,80,25
6,12,0.68,60,0.3275,1430,70,25
6,12,0.68,60,0.3375,1460,80,25
6,12,0.68,60,0.3475,1540,80,25
6,12,0.68,60,0.3575,1650,90,25
6,12,0.68,60,0.3675,1740,90,25
6,12,0.68,60,0.3775,1780,100,25
6,12,0.68,60,0.3875,1990,100,25
6,12,0.68,60,0.3975,1980,100,25
6,12,0.68,60,0.4075,1990,110,25
6,12,0.68,60,0.4175,2050,120,25
6,12,0.68,60,0.4275,2220,120,25
6,12,0.68,60,0.4375,2000,120,25
6,12,0.68,60,0.4475,2250,130,25
6,12,0.68,60,0.4575,2080,140,25
6,12,0.68,60,0.4675,2140,150,25
6,12,0.68,60,0.4775,1950,150,25
6,12,0.68,60,0.4875,2030,170,25
6,12,0.68,60,0.4975,1740,160,25
6,12,0.68,60,0.5075,1740,180,25
6,12,0.68,60,0.5175,1680,200,25
6,12,0.68,60,0.5275,1580,230,25
6,12,0.68,60,0.5375,1480,250,25
6,12,0.68,60,0.5475,1480,300,25
6,12,0.62,60,0.0375,90,10,25
6,12,0.62,60,0.0475,150,10,25
6,12,0.62,60,0.0575,260,10,25
6,12,0.62,60,0.0675,430,20,25
6,12,0.62,60,0.0775,660,30,25
6,12,0.62,60,0.0875,980,40,25
6,12,0.62,60,0.0975,1320,50,25
6,12,0.62,60,0.1075,1700,60,25
6,12,0.62,60,0.1175,2010,80,25
6,12,0.62,60,0.1275,2480,100,25
6,12,0.62,60,0.1375,2910,110,25
6,12,0.62,60,0.1475,3110,120,25
6,12,0.62,60,0.1575,3350,130,25
6,12,0.62,60,0.1675,3670,140,25
6,12,0.62,60,0.1775,3650,150,25
6,12,0.62,60,0.1875,3570,140,25
6,12,0.62,60,0.1975,3490,150,25
6,12,0.62,60,0.2075,3140,140,25
6,12,0.62,60,0.2175,2840,130,25
6,12,0.62,60,0.2275,2510,120,25
6,12,0.62,60,0.2375,2380,120,25
6,12,0.62,60,0.2475,2160,110,25
6,12,0.62,60,0.2575,1970,100,25
6,12,0.62,60,0.2675,1870,90,25
6,12,0.62,60,0.2775,1670,100,25
6,12,0.62,60,0.2875,1670,100,25
6,12,0.62,60,0.2975,1790,100,25
6,12,0.62,60,0.3075,1830,100,25
6,12,0.62,60,0.3175,1890,110,25
6,12,0.62,60,0.3275,2150,120,25
6,12,0.62,60,0.3375,2270,110,25
6,12,0.62,60,0.3475,2320,130,25
6,12,0.62,60,0.3575,2370,130,25
6,12,0.62,60,0.3675,2580,140,25
6,12,0.62,60,0.3775,2640,150,25
6,12,0.62,60,0.3875,2800,160,25
6,12,0.62,60,0.3975,2680,170,25
6,12,0.62,60,0.4075,2750,180,25
6,12,0.62,60,0.4175,2590,190,25
6,12,0.62,60,0.4275,2690,200,25
6,12,0.62,60,0.4375,2680,210,25
6,12,0.62,60,0.4475,2430,270,25
6,12,0.62,60,0.4575,2180,290,25
6,12,0.62,60,0.4675,2300,320,25
6,12,0.62,60,0.4775,2000,310,25
6,12,0.62,60,0.4875,2170,370,25
6,12,0.62,60,0.4975,1890,430,25
6,12,0.56,60,0.0125,30,10,25
6,12,0.56,60,0.0225,30,10,25
6,12,0.56,60,0.0325,320,20,25
6,12,0.56,60,0.0425,480,20,25
6,12,0.56,60,0.0525,750,40,25
6,12,0.56,60,0.0625,1170,60,25
6,12,0.56,60,0.0725,1620,70,25
6,12,0.56,60,0.0825,2210,90,25
6,12,0.56,60,0.0925,2780,110,25
6,12,0.56,60,0.1025,3430,140,25
6,12,0.56,60,0.1125,3930,150,25
6,12,0.56,60,0.1225,4540,160,25
6,12,0.56,60,0.1325,4760,170,25
6,12,0.56,60,0.1425,4960,190,25
6,12,0.56,60,0.1525,4950,190,25
6,12,0.56,60,0.1625,4800,190,25
6,12,0.56,60,0.1725,4670,190,25
6,12,0.56,60,0.1825,4260,180,25
6,12,0.56,60,0.1925,3970,170,25
6,12,0.56,60,0.2025,3510,160,25
6,12,0.56,60,0.2125,2930,130,25
6,12,0.56,60,0.2225,2560,140,25
6,12,0.56,60,0.2325,2380,130,25
6,12,0.56,60,0.2425,2120,120,25
6,12,0.56,60,0.2525,2100,120,25
6,12,0.56,60,0.2625,2050,120,25
6,12,0.56,60,0.2725,2210,130,25
6,12,0.56,60,0.2825,2240,120,25
6,12,0.56,60,0.2925,2330,140,25
6,12,0.56,60,0.3025,2520,150,25
6,12,0.56,60,0.3125,2760,160,25
6,12,0.56,60,0.3225,2820,170,25
6,12,0.56,60,0.3325,3110,180,25
6,12,0.56,60,0.3425,3240,200,25
6,12,0.56,60,0.3525,3100,210,25
6,12,0.56,60,0.3625,3420,230,25
6,12,0.56,60,0.3725,3630,260,25
6,12,0.56,60,0.3825,3400,260,25
6,12,0.56,60,0.3925,3360,300,25
6,12,0.56,60,0.4025,3280,330,25
6,12,0.56,60,0.4125,3130,360,25
6,12,0.56,60,0.4225,2890,420,25
6,12,0.56,60,0.4325,2860,490,25
6,12,0.56,60,0.4425,2490,590,25
6,12,0.5188,60,0.0113,250,20,25
6,12,0.5188,60,0.0213,90,10,25
6,12,0.5188,60,0.0313,820,30,25
6,12,0.5188,60,0.0413,1040,40,25
6,12,0.5188,60,0.0513,1590,40,25
6,12,0.5188,60,0.0613,2300,50,25
6,12,0.5188,60,0.0713,3130,70,25
6,12,0.5188,60,0.0813,3830,80,25
6,12,0.5188,60,0.0913,4660,90,25
6,12,0.5188,60,0.1013,5300,100,25
6,12,0.5188,60,0.1113,5980,120,25
6,12,0.5188,60,0.1213,6280,120,25
6,12,0.5188,60,0.1313,6400,120,25
6,12,0.5188,60,0.1413,6440,130,25
6,12,0.5188,60,0.1513,6060,130,25
6,12,0.5188,60,0.1613,5490,120,25
6,12,0.5188,60,0.1713,4910,120,25
6,12,0.5188,60,0.1813,4280,110,25
6,12,0.5188,60,0.1913,3530,100,25
6,12,0.5188,60,0.2013,3190,100,25
6,12,0.5188,60,0.2113,2880,90,25
6,12,0.5188,60,0.2213,2510,80,25
