nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.016873237,0.023854203,0.002106751,0.007267184,0.00044396,0.000932315
0.021751121,0.017745843,0.003091384,0.0122323,1.6657E-05,0.000755118
0.02682391,0.018413245,0.003365185,0.017064893,0.003217217,0.000622329
0.031874373,0.02347151,0.00393784,0.022235806,0.012009423,0.000881655
0.036862468,0.025200184,0.004147324,0.027207245,0.012722696,0.00094268
0.041770483,0.02716332,0.004966735,0.032360449,0.012601174,0.000997215
0.04669955,0.025015457,0.004489635,0.037304893,0.014087175,0.001059123
0.051926535,0.024118835,0.005215115,0.042130035,0.016377079,0.001247497
0.056847121,0.023998043,0.00490406,0.047272051,0.020025681,0.001308097
0.061924753,0.022904068,0.004705126,0.052253077,0.022511768,0.001462132
0.066837572,0.024632122,0.00457905,0.057409769,0.023106264,0.001513129
0.071826267,0.026365394,0.00472386,0.062348573,0.023608421,0.001556148
0.076752932,0.023759927,0.005329714,0.067313362,0.02313716,0.001614088
0.081821558,0.024655876,0.005531233,0.072303187,0.021573631,0.001612995
0.086896939,0.023236335,0.006273829,0.077233754,0.020467924,0.001693848
0.091904097,0.021182534,0.005348603,0.082373986,0.017989913,0.001663948
0.096983193,0.019567776,0.005280904,0.08718108,0.016972768,0.001779613
0.101905017,0.018842823,0.005268594,0.092297539,0.015897303,0.001740559
0.106826279,0.018201047,0.00532356,0.097261779,0.015339452,0.001766962
0.111901997,0.017830829,0.004905756,0.102221255,0.013880309,0.001751542
0.116985708,0.01531407,0.004437737,0.107336689,0.012490446,0.001801634
0.121913687,0.012936621,0.004352533,0.112291831,0.010357684,0.001567457
,,,0.117100127,0.009854465,0.001363408
,,,0.12221856,0.009119681,0.001323
