Z,A,E0,ThetaDeg,nu,cross,error,dataSet
6,12,1.2044,45,0.1702,4.11E+01,1.59E+00,12
6,12,1.2044,45,0.1857,6.58E+01,2.02E+00,12
6,12,1.2044,45,0.2011,1.06E+02,2.49E+00,12
6,12,1.2044,45,0.2166,1.60E+02,3.18E+00,12
6,12,1.2044,45,0.2321,2.33E+02,4.02E+00,12
6,12,1.2044,45,0.2476,3.37E+02,5.06E+00,12
6,12,1.2044,45,0.2631,4.43E+02,5.80E+00,12
6,12,1.2044,45,0.2786,5.53E+02,6.31E+00,12
6,12,1.2044,45,0.2941,6.77E+02,6.78E+00,12
6,12,1.2044,45,0.3406,9.22E+02,8.50E+00,12
6,12,1.2044,45,0.3561,9.43E+02,8.31E+00,12
6,12,1.2044,45,0.3716,9.28E+02,8.03E+00,12
6,12,1.2044,45,0.387,9.18E+02,7.92E+00,12
6,12,1.2044,45,0.4025,9.18E+02,7.90E+00,12
6,12,1.2044,45,0.418,8.60E+02,7.46E+00,12
6,12,1.2044,45,0.4335,8.08E+02,7.08E+00,12
6,12,1.2044,45,0.449,8.05E+02,7.37E+00,12
6,12,1.2044,45,0.48,7.88E+02,7.00E+00,12
6,12,1.2044,45,0.4955,8.09E+02,7.16E+00,12
6,12,1.2044,45,0.511,8.38E+02,7.41E+00,12
6,12,1.2044,45,0.5265,8.85E+02,7.73E+00,12
6,12,1.2044,45,0.542,9.26E+02,7.95E+00,12
6,12,1.2044,45,0.5574,9.40E+02,7.99E+00,12
6,12,1.2044,45,0.5884,1.00E+03,9.32E+00,12
6,12,1.2044,45,0.6039,1.02E+03,8.79E+00,12
6,12,1.2044,45,0.6194,1.01E+03,8.66E+00,12
6,12,1.2044,45,0.6349,1.00E+03,8.59E+00,12
6,12,1.2044,45,0.6504,9.74E+02,8.37E+00,12
6,12,1.2044,45,0.6659,9.54E+02,8.39E+00,12
6,12,1.2044,45,0.6969,9.47E+02,7.77E+00,12
6,12,1.2044,45,0.7124,9.51E+02,7.75E+00,12
6,12,1.2044,45,0.7279,9.21E+02,7.56E+00,12
6,12,1.2044,45,0.7433,9.06E+02,7.48E+00,12
6,12,1.2044,45,0.7743,9.16E+02,7.29E+00,12
6,12,1.2044,45,0.7898,9.12E+02,7.07E+00,12
6,12,1.2044,45,0.8053,9.05E+02,7.04E+00,12
6,12,1.2044,45,0.8208,9.03E+02,7.14E+00,12
6,12,1.2044,55,0.3398,9.12E+01,1.91E+00,12
6,12,1.2044,55,0.3536,1.21E+02,2.13E+00,12
6,12,1.2044,55,0.3674,1.48E+02,2.29E+00,12
6,12,1.2044,55,0.3812,1.80E+02,2.45E+00,12
6,12,1.2044,55,0.3949,2.15E+02,2.62E+00,12
6,12,1.2044,55,0.4087,2.42E+02,2.68E+00,12
6,12,1.2044,55,0.4225,2.61E+02,2.70E+00,12
6,12,1.2044,55,0.4363,2.77E+02,2.72E+00,12
6,12,1.2044,55,0.45,2.99E+02,2.91E+00,12
6,12,1.2044,55,0.4776,3.08E+02,2.77E+00,12
6,12,1.2044,55,0.4914,3.08E+02,2.71E+00,12
6,12,1.2044,55,0.5051,3.02E+02,2.65E+00,12
6,12,1.2044,55,0.5189,3.02E+02,2.65E+00,12
6,12,1.2044,55,0.5327,3.03E+02,2.66E+00,12
