qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.34,0.1156,-0.00507,0.0001,1.309514e-11,9.177022e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.309514e-11,9.177022e-10
0.34,0.1156,-0.00497,0.0002,1.432723e-11,9.81622e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.432723e-11,9.81622e-10
0.34,0.1156,-0.00487,0.0003,1.567139e-11,1.04989e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.567139e-11,1.04989e-09
0.34,0.1156,-0.00477,0.0004,1.713746e-11,1.122795e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.713746e-11,1.122795e-09
0.34,0.1156,-0.00467,0.0005,1.873607e-11,1.200644e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.873607e-11,1.200644e-09
0.34,0.1156,-0.00457,0.0006,2.047879e-11,1.283765e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.047879e-11,1.283765e-09
0.34,0.1156,-0.00447,0.0007,2.23781e-11,1.372507e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.23781e-11,1.372507e-09
0.34,0.1156,-0.00437,0.0008,2.444757e-11,1.46724e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.444757e-11,1.46724e-09
0.34,0.1156,-0.00427,0.0009,2.670186e-11,1.568359e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.670186e-11,1.568359e-09
0.34,0.1156,-0.00417,0.001,2.915686e-11,1.676285e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.915686e-11,1.676285e-09
0.34,0.1156,-0.00407,0.0011,3.182976e-11,1.791465e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.182976e-11,1.791465e-09
0.34,0.1156,-0.00397,0.0012,3.473917e-11,1.914375e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.473917e-11,1.914375e-09
0.34,0.1156,-0.00387,0.0013,3.79052e-11,2.045521e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.79052e-11,2.045521e-09
0.34,0.1156,-0.00377,0.0014,4.134963e-11,2.185442e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.134963e-11,2.185442e-09
0.34,0.1156,-0.00367,0.0015,4.509597e-11,2.334711e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.509597e-11,2.334711e-09
0.34,0.1156,-0.00357,0.0016,4.916967e-11,2.493938e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.916967e-11,2.493938e-09
0.34,0.1156,-0.00347,0.0017,5.35982e-11,2.663771e-09,0.0,0.0,0.0,0.0,0.0,0.0,5.35982e-11,2.663771e-09
0.34,0.1156,-0.00337,0.0018,5.841125e-11,2.844899e-09,0.0,0.0,0.0,0.0,0.0,0.0,5.841125e-11,2.844899e-09
0.34,0.1156,-0.00327,0.0019,6.364088e-11,3.038056e-09,0.0,0.0,0.0,0.0,0.0,0.0,6.364088e-11,3.038056e-09
0.34,0.1156,-0.00317,0.002,6.93217e-11,3.244021e-09,0.0,0.0,0.0,0.0,0.0,0.0,6.93217e-11,3.244021e-09
0.34,0.1156,-0.00307,0.0021,7.549108e-11,3.463622e-09,0.0,0.0,0.0,0.0,0.0,0.0,7.549108e-11,3.463622e-09
0.34,0.1156,-0.00297,0.0022,8.218932e-11,3.697741e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.218932e-11,3.697741e-09
0.34,0.11559,-0.00287,0.0023,8.945992e-11,3.947313e-09,0.0,0.0,0.0,0.0,0.0,0.0,8.945992e-11,3.947313e-09
0.34,0.11559,-0.00277,0.0024,9.734978e-11,4.213335e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.734978e-11,4.213335e-09
0.34,0.11559,-0.00267,0.0025,1.059095e-10,4.496862e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.059095e-10,4.496862e-09
0.34,0.11559,-0.00257,0.0026,1.151935e-10,4.799018e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.151935e-10,4.799018e-09
0.34,0.11559,-0.00247,0.0027,1.252606e-10,5.120998e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.252606e-10,5.120998e-09
0.34,0.11559,-0.00237,0.0028,1.361741e-10,5.464068e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.361741e-10,5.464068e-09
0.34,0.11559,-0.00227,0.0029,1.48002e-10,5.829577e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.48002e-10,5.829577e-09
0.34,0.11559,-0.00217,0.003,1.608178e-10,6.218953e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.608178e-10,6.218953e-09
0.34,0.11559,-0.00207,0.0031,1.747004e-10,6.633717e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.747004e-10,6.633717e-09
0.34,0.11559,-0.00197,0.0032,1.897349e-10,7.075481e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.897349e-10,7.075481e-09
0.34,0.11559,-0.00187,0.0033,2.060126e-10,7.545958e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.060126e-10,7.545958e-09
