A,Z,nu,E0,ThetaDeg,cross,error,dataSet,normalization,normError,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,Veff,Eeff,Ep,Ep_eff,F2foc,Q2,Q2eff,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,RL_qvc_nu,RT_qvc_nu,RL_qvd_nu,RT_qvd_nu,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,RL_q2c_nu,RT_q2c_nu,RL_q2d_nu,RT_q2d_nu,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_qv_nu,bc_qv_ex,bc_qv_w2,bc_q2_nu,bc_q2_ex,bc_q2_w2,sigtot
12,6,0.015711316,0.25,40,121600,3648.0,16,0.9455,0.003127,114972.8,3470.079992882331,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0144099917033648,2.894010933453939,0.0031,0.2531,0.234288684,0.237388684,1.0249537599999998,0.0274065697680708,0.0281135389721637,0.0283603844226156,0.1684054168446361,0.8817256907513722,0.7890947154717898,4.321748202115805e-05,2660330834.260834,84410285.59262298,0.0137525664264707,0.0135841232975807,59.84706352582849,58.39001315125523,6880784.465342374,207674.09777373532,17.671172559019418,0.533346864195919,6713263.304036638,202618.016420307,17.24094612718863,0.5203618787601882,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0196585,0.006011256,0.0198196,0.00599287,0.01964679,0.005896792,0.0198148,0.005915191,0.01963566,0.005570537,0.0198196,0.005992848,0.01908863,0.006029915,0.0198196,0.00599287,0.01902733,0.005792327,0.01981428,0.005914514,0.0191994,0.004087495,0.0198196,0.005992847,1.0,1.0,1.0,1.0,1.0,1.0,2.8382208e+21
12,6,0.015901316,0.25,40,119900,3597.0,16,0.9455,0.003127,113365.45,3421.5673614028906,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0145999917033648,2.894010933453939,0.0031,0.2531,0.234098684,0.237198684,1.0249537599999998,0.0273843439901671,0.0280910375946141,0.0283438894451459,0.1683564357105066,0.8821047358689219,0.7890582818965781,5.5169803050822685e-05,2054846015.954909,65198710.183656566,0.0137525664264707,0.0135841232975807,59.87050659741571,58.41288547242924,6787246.922144,204850.97128437404,17.430950230456343,0.5260965345858692,6622003.047380403,199863.6224178289,17.006572306692494,0.5132880673425396,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.01971324,0.006345993,0.01985498,0.006331436,0.01969146,0.006232563,0.01984278,0.006252956,0.01964935,0.005925283,0.01985498,0.006331414,0.01919425,0.006351966,0.01985498,0.006331436,0.01911511,0.00611807,0.01984222,0.006252277,0.01905443,0.004430018,0.01985498,0.006331414,1.0,1.0,1.0,1.0,1.0,1.0,2.5290528e+21
12,6,0.016021316,0.25,40,133000,3990.0,16,0.9455,0.003127,125751.5,3795.3999922150497,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0147199917033648,2.894010933453939,0.0031,0.2531,0.233978684,0.2370786839999999,1.0249537599999998,0.0273703066567543,0.0280768261982669,0.0283335087646387,0.1683256034138561,0.8823441327852691,0.7890350243164092,6.271643692469846e-05,2005080424.9448297,63619685.61432564,0.0137525664264707,0.0135841232975807,59.88547461574452,58.42748907594088,7530688.261141797,227289.3298903913,19.34024999927054,0.583722537676835,7347344.39253318,221755.6915839709,18.869387824159546,0.5695110945071661,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.01976117,0.006554591,0.01989201,0.006542506,0.01973411,0.006442147,0.01987577,0.006463776,0.01967726,0.006147584,0.019892,0.006542484,0.0192713,0.006552077,0.01989201,0.006542506,0.01918313,0.006321177,0.01987519,0.006463097,0.0189961,0.004649288,0.019892,0.006542484,1.0,1.0,1.0,1.0,1.0,1.0,2.3174856e+21
12,6,0.016101316,0.25,40,146000,4380.0,16,0.9455,0.003127,138043.0,4166.378938822536,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0147999917033648,2.894010933453939,0.0031,0.2531,0.233898684,0.236998684,1.0249537599999998,0.027360948434479,0.0280673519340354,0.0283266043109673,0.1683050929442342,0.8825037307295006,0.7890194129133545,6.774656768200932e-05,2037638285.2036133,64652721.89963871,0.0137525664264707,0.0135841232975807,59.89552305011863,58.43729286882038,8268157.688407525,249547.445765774,21.234212754804325,0.6408856429090471,8066859.219490572,243471.9062504576,20.717239726799317,0.6252824936307833,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.01979792,0.006692171,0.01992202,0.006681746,0.01976779,0.006580521,0.01990336,0.00660296,0.019703,0.006294693,0.01992202,0.006681724,0.01932625,0.006683816,0.01992202,0.006681746,0.01923298,0.006455182,0.01990277,0.006602282,0.01897042,0.004796374,0.01992202,0.006681724,1.0,1.0,1.0,1.0,1.0,1.0,2.172756e+21
12,6,0.016181316,0.25,40,157200,4716.0,16,0.9455,0.003127,148632.6,4485.991569745908,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0148799917033648,2.894010933453939,0.0031,0.2531,0.233818684,0.236918684,1.0249537599999998,0.0273515902122038,0.028057877669804,0.0283197126572958,0.1682846180056153,0.882663328673732,0.7890037163411641,7.277592471419211e-05,2042332001.739787,64801649.97587901,0.0137525664264707,0.0135841232975807,59.90562736662123,58.44715118330923,8903929.150132068,268736.1393470026,22.86699565402501,0.6901658837251889,8687152.042968327,262193.4274839898,22.310270517984165,0.6733629463686139,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.01983801,0.006828412,0.01995576,0.006819652,0.01980515,0.006717662,0.0199349,0.006740897,0.01973379,0.006440741,0.01995575,0.00681963,0.0193836,0.006814083,0.01995576,0.006819652,0.01928593,0.006587921,0.0199343,0.00674022,0.01895467,0.004943972,0.01995575,0.00681963,1.0,1.0,1.0,1.0,1.0,1.0,2.026914e+21
12,6,0.016321316,0.25,40,173000,5190.0,16,0.9455,0.003127,163571.5,4936.873674084238,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0150199917033648,2.894010933453939,0.0031,0.2531,0.233678684,0.236778684,1.0249537599999998,0.0273352133232221,0.0280412977073989,0.0283076830633708,0.1682488723985121,0.8829426250761371,0.7889760421707925,8.157541985940536e-05,2005156703.8442988,63622105.88612265,0.0137525664264707,0.0135841232975807,59.92344458787616,58.46453462239717,9801767.716405785,295834.4760463314,25.17281707811986,0.7597596032041526,9563131.62498744,288632.02184489905,24.55995388330481,0.7412623211452511,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0199149,0.007063243,0.02002242,0.007057392,0.01987807,0.006954316,0.01999822,0.006978902,0.01979824,0.006693306,0.02002241,0.007057371,0.01948864,0.007038175,0.02002242,0.007057392,0.01938483,0.006816805,0.01999761,0.006978227,0.01894925,0.00520296,0.02002241,0.007057371,1.0,1.0,1.0,1.0,1.0,1.0,1.7733984e+21
12,6,0.016411316,0.25,40,185200,5556.0,16,0.9455,0.003127,175106.6,5285.02314705434,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0151099917033648,2.894010933453939,0.0031,0.2531,0.233588684,0.2366886839999999,1.0249537599999998,0.0273246853231625,0.0280306391601385,0.0282999704529904,0.1682259505932138,0.8831221727633974,0.788958113582703,8.723096245817691e-05,2007390438.7327528,63692980.60495248,0.0137525664264707,0.0135841232975807,59.93498916276727,58.475798130412514,10495012.173329024,316757.805043676,26.953201638278397,0.8134947200478123,10239498.192902893,309045.946661707,26.2969927914391,0.7936891904741268,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.01996805,0.007211552,0.02006954,0.007207558,0.01992916,0.007103952,0.02004352,0.007129374,0.01984571,0.006853331,0.02006953,0.007207537,0.01955858,0.007179412,0.02006954,0.007207558,0.0194518,0.006961418,0.0200429,0.007128702,0.01895944,0.005369535,0.02006953,0.007207537,1.0,1.0,1.0,1.0,1.0,1.0,1.6143336e+21
12,6,0.016531316,0.25,40,199900,5997.0,16,0.9455,0.003127,189005.45,5704.514725141266,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0152299917033648,2.894010933453939,0.0031,0.2531,0.233468684,0.236568684,1.0249537599999998,0.0273106479897496,0.0280164277637914,0.0282897121724832,0.1681954582397612,0.8833615696797446,0.7889340405170501,9.477011578741904e-05,1994357065.300652,63279441.52196674,0.0137525664264707,0.0135841232975807,59.95049247504996,58.49092399548832,11330969.807968432,341988.4671033932,29.100100976304333,0.8782918932889279,11055103.410683068,333662.3372193817,28.391623224353395,0.8569087968309205,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0200424,0.007405756,0.02013645,0.007404208,0.02000132,0.007300106,0.02010839,0.007326596,0.01991497,0.00706345,0.02013645,0.007404187,0.01965388,0.00736402,0.02013645,0.007404208,0.01954422,0.007150853,0.02010777,0.007325927,0.01898797,0.00559122,0.02013645,0.007404187,1.0,1.0,1.0,1.0,1.0,1.0,1.4102748e+21
12,6,0.016741316,0.25,40,197600,5928.0,16,0.9455,0.003127,186830.8,5638.879988433788,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0154399917033648,2.894010933453939,0.0031,0.2531,0.233258684,0.2363586839999999,1.0249537599999998,0.0272860826562771,0.0279915578201838,0.0282718294815956,0.168142289390848,0.8837805142833522,0.7888914491489147,0.0001079592597541,1730567627.3203695,54909602.136024415,0.0137525664264707,0.0135841232975807,59.97792791164738,58.517691482635655,11205724.254075408,338208.3374487128,28.77844640243396,0.868583796231131,10932907.113854004,329974.2394707765,28.0777997267252,0.8474370553371414,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02017907,0.007734947,0.02026156,0.007737551,0.02013551,0.007633158,0.02023089,0.007661371,0.02004845,0.007421005,0.02026156,0.007737532,0.01982371,0.007676077,0.02026156,0.007737551,0.01971157,0.007472162,0.02023027,0.007660709,0.0190735,0.005976346,0.02026156,0.007737531,1.0,1.0,1.0,1.0,1.0,1.0,1.08355236e+21
12,6,0.016951316,0.25,40,198900,5967.0,16,0.9455,0.003127,188059.95,5675.977883094537,0.6981317007977318,0.1169777784405109,0.8830222215594891,0.1324743314317942,0.0013013242966351,0.0156499917033648,2.894010933453939,0.0031,0.2531,0.233048684,0.236148684,1.0249537599999998,0.0272615173228046,0.0279666878765762,0.0282540349907081,0.1680893660845567,0.8841994588869597,0.7888482666731218,0.0001211427438141,1552383114.9850798,49255942.30518497,0.0137525664264707,0.0135841232975807,60.00575212266147,58.544838279008296,11284678.743900113,340591.32190667954,28.98121665646956,0.8747037567929385,11009939.359508388,332299.2072409975,28.275633289515,0.8534080179314029,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.02031991,0.008049234,0.02039241,0.008055761,0.02027529,0.007951809,0.02036018,0.007981524,0.02019163,0.007763858,0.02039241,0.008055742,0.01999405,0.007972997,0.02039241,0.008055761,0.01988197,0.00777919,0.02035956,0.00798087,0.01919545,0.006355242,0.02039241,0.008055742,1.0,1.0,1.0,1.0,1.0,1.0,8.0434944e+20
