A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.011544746,0.054,180.0,101.5,766.5053762137131,22
12,6,0.014231259,0.065,180.0,85.0,315.00917450138394,23
12,6,0.014473759,0.065,180.0,175.0,345.03550545295496,23
12,6,0.014715259,0.065,180.0,1635.0,487.1997331877493,23
12,6,0.012546046,0.054,180.0,585.5,905.6514220431833,22
12,6,0.015010259,0.065,180.0,2750.0,466.52974182120664,23
12,6,0.0125,0.16,36.0,410600.0,183567.73647890516,1
12,6,0.015221259,0.065,180.0,5840.0,593.4513290480999,23
12,6,0.015473259,0.065,180.0,12680.0,751.1497320458317,23
12,6,0.015757759,0.065,180.0,14430.0,898.097945656107,23
12,6,0.013572546,0.054,180.0,129.0,871.0076421999986,22
12,6,0.015979259,0.065,180.0,13970.0,946.429458524058,23
12,6,0.016231259,0.065,180.0,12735.0,800.6055083507404,23
12,6,0.013994646,0.054,180.0,2078.5,1012.2086642353563,22
12,6,0.016484259,0.065,180.0,8930.0,734.7761019984491,23
12,6,0.016747259,0.065,180.0,7445.0,774.188232886112,23
12,6,0.014499196,0.054,180.0,3714.5,1189.1502250574617,22
12,6,0.017020759,0.065,180.0,7445.0,716.6361838049158,23
12,6,0.014956246,0.054,180.0,8243.0,1413.3625289445813,22
12,6,0.0175,0.2,36.0,435600.0,79164.62523185604,1
12,6,0.017252759,0.065,180.0,6525.0,709.4261765962984,23
12,6,0.017494259,0.065,180.0,5155.0,593.1982974073293,23
12,6,0.015499296,0.054,180.0,13746.0,1379.905073948993,22
12,6,0.017747259,0.065,180.0,6955.0,683.9024930933382,23
12,6,0.018031759,0.065,180.0,8675.0,699.4494263263355,23
12,6,0.015940246,0.054,180.0,12490.0,1370.3197000848165,22
12,6,0.018273259,0.065,180.0,8215.0,809.0821836954095,23
12,6,0.018526259,0.065,180.0,9935.0,824.3715060857104,23
12,6,0.016462796,0.054,180.0,10607.0,1562.0805863955802,22
12,6,0.018768759,0.065,180.0,8760.0,676.9712549321546,23
12,6,0.019031259,0.065,180.0,9275.0,789.8389075917463,23
12,6,0.016949096,0.054,180.0,5692.5,1230.0828814798792,22
12,6,0.019273759,0.065,180.0,10135.0,742.5628457991367,23
12,6,0.019515259,0.065,180.0,10535.0,747.0033333457944,23
12,6,0.017425246,0.054,180.0,7084.0,1098.4290803317083,22
12,6,0.0175,0.16,36.0,409000.0,147952.94796365022,1
12,6,0.019768259,0.065,180.0,11825.0,789.3601839069887,23
12,6,0.020031759,0.065,180.0,15775.0,894.2625453689632,23
12,6,0.017983646,0.054,180.0,8127.5,1309.830238695506,22
12,6,0.020262759,0.065,180.0,14145.0,998.6439906071416,23
12,6,0.020505259,0.065,180.0,12225.0,950.1502512803546,23
12,6,0.018458046,0.054,180.0,8892.5,1245.1672554821716,22
12,6,0.020779259,0.065,180.0,11280.0,861.2727326888585,23
12,6,0.021010259,0.065,180.0,10165.0,826.611625843161,23
12,6,0.018994146,0.054,180.0,11887.5,1265.002124873671,22
12,6,0.021273759,0.065,180.0,8675.0,699.4494263263355,23
12,6,0.021525759,0.065,180.0,9275.0,846.6672900448868,23
12,6,0.019463596,0.054,180.0,10910.0,1190.6815186587744,22
12,6,0.0225,0.2,36.0,601100.0,77293.05898566326,1
12,6,0.021768259,0.065,180.0,10220.0,1040.9412664533097,23
12,6,0.022000259,0.065,180.0,11250.0,992.3960903224475,23
12,6,0.019925396,0.054,180.0,7145.5,1442.7261647199496,22
12,6,0.022252259,0.065,180.0,12165.0,1005.6911951052297,23
12,6,0.022515759,0.065,180.0,15055.0,1063.930176091146,23
12,6,0.020454046,0.054,180.0,7457.0,1203.6238945324098,22
12,6,0.022758259,0.065,180.0,15655.0,1043.5938960991966,23
12,6,0.023041759,0.065,180.0,15255.0,1038.8440787969494,23
12,6,0.020979196,0.054,180.0,6514.5,1302.5978726114565,22
12,6,0.023263259,0.065,180.0,16290.0,1101.04099805075,23
12,6,0.023525759,0.065,180.0,17150.0,961.3521726882104,23
12,6,0.021493796,0.054,180.0,11774.0,1365.2390492201478,22
12,6,0.023778759,0.065,180.0,15715.0,893.4170247289401,23
12,6,0.024010759,0.065,180.0,13740.0,791.9154500464005,23
12,6,0.021906146,0.054,180.0,10205.0,1389.3144422219252,22
12,6,0.0225,0.16,36.0,790800.0,148197.64408733032,1
12,6,0.024273259,0.065,180.0,14655.0,852.5492478814816,23
12,6,0.024526259,0.065,180.0,15715.0,1044.315076952031,23
12,6,0.027,0.0809,135.0,15000.0,1386.5064012669445,18
12,6,0.022561796,0.054,180.0,16265.0,1047.4355255052387,22
12,6,0.024757759,0.065,180.0,13680.0,1100.2790188185477,23
12,6,0.024999759,0.065,180.0,13110.0,991.9161657775459,23
12,6,0.022980746,0.054,180.0,17065.0,1279.5297497821534,22
12,6,0.025263259,0.065,180.0,10735.0,935.6373121896862,23
12,6,0.025494259,0.065,180.0,12455.0,1008.5269555291854,23
12,6,0.023423996,0.054,180.0,16645.0,1210.318065343463,22
12,6,0.0279,0.0809,135.0,14020.0,1469.5146541719841,18
12,6,0.025747259,0.065,180.0,12595.0,926.2463063751859,23
12,6,0.025989759,0.065,180.0,11935.0,1003.4841204321309,23
12,6,0.023925646,0.054,180.0,17236.0,1378.1091240486114,22
12,6,0.0285,0.0809,135.0,11790.0,1063.6274156496245,18
12,6,0.026252259,0.065,180.0,11655.0,1000.847750630767,23
12,6,0.0275,0.2,36.0,650100.0,72926.1880795395,1
12,6,0.026505259,0.065,180.0,9045.0,1506.8757816971454,23
12,6,0.024471046,0.054,180.0,13575.5,1379.0343032380265,22
12,6,0.0291,0.0809,135.0,12800.0,1011.9767783806423,18
12,6,0.025033896,0.054,180.0,16222.0,1401.2489522899714,22
12,6,0.0297,0.0809,135.0,13170.0,1132.9868141068357,18
12,6,0.025415446,0.054,180.0,13572.0,1245.6260862427036,22
12,6,0.0302,0.0809,135.0,12130.0,1095.1299102472663,18
12,6,0.025927446,0.054,180.0,7890.5,1239.7532989159774,22
12,6,0.0307,0.0809,135.0,13040.0,1009.7689240768768,18
12,6,0.026408296,0.054,180.0,10990.0,1157.518501074866,22
