qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
1.94376,3.75,0.00025,0.16799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94379,3.75,0.0005,0.16824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94381,3.75,0.00075,0.16849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94383,3.75,0.001,0.16874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94385,3.75,0.00125,0.16899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94387,3.75,0.0015,0.16924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94389,3.75,0.00175,0.16949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94392,3.75,0.002,0.16974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94394,3.75,0.00225,0.16999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94396,3.75,0.0025,0.17024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94398,3.75,0.00275,0.17049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.944,3.75,0.003,0.17074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94403,3.75,0.00325,0.17099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94405,3.75,0.0035,0.17124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94407,3.75,0.00375,0.17149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94409,3.75,0.004,0.17174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94411,3.75,0.00425,0.17199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94414,3.75,0.0045,0.17224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94416,3.75,0.00475,0.17249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94418,3.75,0.005,0.17274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9442,3.75,0.00525,0.17299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94423,3.75,0.0055,0.17324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94425,3.75,0.00575,0.17349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94427,3.75,0.006,0.17374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94429,3.75,0.00625,0.17399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94431,3.75,0.0065,0.17424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94434,3.75,0.00675,0.17449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94436,3.75,0.007,0.17474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94438,3.75,0.00725,0.17499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9444,3.75,0.0075,0.17524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.94443,3.75,0.00775,0.17549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
