qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.167,0.02789,0.0001,0.00135,6.98e-10,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,6.98e-10,0.0022
0.167,0.02789,0.0002,0.00145,7.48e-10,0.00237,0.0,0.0,0.0,0.0,0.0,0.0,7.48e-10,0.00237
0.167,0.02789,0.0003,0.00155,8.02e-10,0.00254,0.0,0.0,0.0,0.0,0.0,0.0,8.02e-10,0.00254
0.167,0.02789,0.0004,0.00165,8.6e-10,0.00271,0.0,0.0,0.0,0.0,0.0,0.0,8.6e-10,0.00271
0.167,0.02789,0.0005,0.00175,9.22e-10,0.0029,0.0,0.0,0.0,0.0,0.0,0.0,9.22e-10,0.0029
0.167,0.02789,0.0006,0.00185,9.89e-10,0.00309,0.0,0.0,0.0,0.0,0.0,0.0,9.89e-10,0.00309
0.167,0.02789,0.0007,0.00195,1.06e-09,0.00329,0.0,0.0,0.0,0.0,0.0,0.0,1.06e-09,0.00329
0.167,0.02788,0.0008,0.00205,1.14e-09,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,1.14e-09,0.0035
0.167,0.02788,0.0009,0.00215,1.22e-09,0.00371,0.0,0.0,0.0,0.0,0.0,0.0,1.22e-09,0.00371
0.167,0.02788,0.001,0.00225,1.31e-09,0.00394,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-09,0.00394
0.167,0.02788,0.0011,0.00235,1.41e-09,0.00417,0.0,0.0,0.0,0.0,0.0,0.0,1.41e-09,0.00417
0.167,0.02788,0.0012,0.00245,1.52e-09,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,1.52e-09,0.0044
0.167,0.02788,0.0013,0.00255,1.64e-09,0.00464,0.0,0.0,0.0,0.0,0.0,0.0,1.64e-09,0.00464
0.167,0.02788,0.0014,0.00265,1.77e-09,0.00489,0.0,0.0,0.0,0.0,0.0,0.0,1.77e-09,0.00489
0.167,0.02788,0.0015,0.00275,1.91e-09,0.00514,0.0,0.0,0.0,0.0,0.0,0.0,1.91e-09,0.00514
0.167,0.02788,0.0016,0.00285,2.06e-09,0.0054,0.0,0.0,0.0,0.0,0.0,0.0,2.06e-09,0.0054
0.167,0.02788,0.0017,0.00295,2.23e-09,0.00566,0.0,0.0,0.0,0.0,0.0,0.0,2.23e-09,0.00566
0.167,0.02788,0.0018,0.00305,2.42e-09,0.00592,0.0,0.0,0.0,0.0,0.0,0.0,2.42e-09,0.00592
0.167,0.02788,0.0019,0.00315,2.64e-09,0.00619,0.0,0.0,0.0,0.0,0.0,0.0,2.64e-09,0.00619
0.167,0.02788,0.002,0.00325,2.87e-09,0.00646,0.0,0.0,0.0,0.0,0.0,0.0,2.87e-09,0.00646
0.167,0.02788,0.0021,0.00335,3.14e-09,0.00673,0.0,0.0,0.0,0.0,0.0,0.0,3.14e-09,0.00673
0.167,0.02788,0.0022,0.00345,3.44e-09,0.007,0.0,0.0,0.0,0.0,0.0,0.0,3.44e-09,0.007
0.167,0.02788,0.0023,0.00355,3.78e-09,0.00727,0.0,0.0,0.0,0.0,0.0,0.0,3.78e-09,0.00727
0.167,0.02788,0.0024,0.00365,4.16e-09,0.00754,0.0,0.0,0.0,0.0,0.0,0.0,4.16e-09,0.00754
0.167,0.02787,0.0025,0.00375,4.6e-09,0.00781,0.0,0.0,0.0,0.0,0.0,0.0,4.6e-09,0.00781
0.167,0.02787,0.0026,0.00385,5.1e-09,0.00808,0.0,0.0,0.0,0.0,0.0,0.0,5.1e-09,0.00808
0.167,0.02787,0.0027,0.00395,5.68e-09,0.00834,0.0,0.0,0.0,0.0,0.0,0.0,5.68e-09,0.00834
0.167,0.02787,0.0028,0.00405,6.35e-09,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-09,0.0086
0.167,0.02787,0.0029,0.00415,7.12e-09,0.00886,0.0,0.0,0.0,0.0,0.0,0.0,7.12e-09,0.00886
0.167,0.02787,0.003,0.00425,8.01e-09,0.00911,0.0,0.0,0.0,0.0,0.0,0.0,8.01e-09,0.00911
0.167,0.02787,0.0031,0.00435,9.05e-09,0.00935,0.0,0.0,0.0,0.0,0.0,0.0,9.05e-09,0.00935
0.167,0.02787,0.0032,0.00445,1.03e-08,0.00958,0.0,0.0,0.0,0.0,0.0,0.0,1.03e-08,0.00958
0.167,0.02787,0.0033,0.00455,1.17e-08,0.00981,0.0,0.0,0.0,0.0,0.0,0.0,1.17e-08,0.00981
0.167,0.02787,0.0034,0.00465,1.33e-08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.33e-08,0.01
0.167,0.02787,0.0035,0.00475,1.53e-08,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,1.53e-08,0.0102
0.167,0.02787,0.0036,0.00485,1.75e-08,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,1.75e-08,0.0104
0.167,0.02786,0.0037,0.00495,2.02e-08,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,2.02e-08,0.0106
0.167,0.02786,0.0038,0.00505,2.33e-08,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,2.33e-08,0.0108
0.167,0.02786,0.0039,0.00515,2.7e-08,0.011,0.0,0.0,0.0,0.0,0.0,0.0,2.7e-08,0.011
0.167,0.02786,0.004,0.00525,3.13e-08,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,3.13e-08,0.0111
0.167,0.02786,0.0041,0.00535,3.63e-08,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,3.63e-08,0.0113
0.167,0.02786,0.0042,0.00545,4.22e-08,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,4.22e-08,0.0114
0.167,0.02786,0.0043,0.00555,4.92e-08,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,4.92e-08,0.0115
0.167,0.02786,0.0044,0.00565,5.73e-08,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,5.73e-08,0.0116
0.167,0.02786,0.0045,0.00575,6.69e-08,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,6.69e-08,0.0117
0.167,0.02785,0.0046,0.00585,7.81e-08,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,7.81e-08,0.0118
0.167,0.02785,0.0047,0.00595,9.11e-08,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,9.11e-08,0.0118
0.167,0.02785,0.0048,0.00605,1.06e-07,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,1.06e-07,0.0119
0.167,0.02785,0.0049,0.00615,1.24e-07,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,1.24e-07,0.0119
0.167,0.02785,0.005,0.00625,1.45e-07,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,1.45e-07,0.0119
0.167,0.02785,0.0051,0.00635,1.69e-07,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,1.69e-07,0.0119
0.167,0.02785,0.0052,0.00645,1.98e-07,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,1.98e-07,0.0119
0.167,0.02785,0.0053,0.00655,2.3e-07,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-07,0.0119
