14.4	5.28	14.4	1.76
14.4	5.2	14.5	2.01
14.6	4.9	14.6	2.41
14.8	5.39	14.7	3.06
15	5.8	14.8	3.73
15.1	6.54	14.9	4.49
15.2	7.21	15.1	5.35
15.3	7.76	15.2	5.46
15.4	8.24	15.3	4.92
15.6	8.93	15.4	3.95
15.7	10.06	15.5	3.19
15.8	10.86	15.7	2.84
15.8	11.52	15.8	3.66
15.9	12.38	15.9	4.65
15.9	13.09	16.1	5.54
16	13.79	16.3	5.91
16.2	13.26	16.3	5.44
16.2	12.54	16.4	4.47
16.3	11.6	16.5	3.81
16.3	11.04	16.6	2.8
16.4	9.69	16.8	2.41
16.4	8.99	16.9	2.44
16.5	8.37	17.1	2.63
16.5	7.74	17.3	2.85
16.6	5.75	17.4	3.17
16.6	5.67	17.6	3.45
16.8	5.42	17.8	3.8
17	5.47	17.9	4.2
17.2	5.34	18.1	4.53
17.4	4.73	18.3	4.43
17.6	4.32	18.4	3.77
17.7	4.37	18.6	3.07
17.9	4.47	18.8	3.2
18	4.59	18.9	3.82
18.2	5.13	19	4.61
18.3	5.85	19.1	5.3
18.4	6.5	19.2	6.09
18.6	7.26	19.3	6.91
18.7	7.29	19.5	7.63
19	6.82	19.7	7.11
19.1	6.58	19.8	6.39
19.2	6.37	19.9	5.72
19.4	6.53	20	4.79
19.6	6.79	20.2	4.43
19.8	7.04	20.4	4.33
19.9	7.19	20.5	4.27
20.1	7.27	20.7	4.28
20.3	7.47	20.9	4.2
20.4	7.85	21	4.19
20.6	8.49	21.2	4.06
20.8	9.34	21.4	3.94
20.9	9.95	21.6	4.06
21	10.8	21.8	4.4
21.2	11.8	22	4.63
21.3	12.46	22.1	4.81
21.4	13.26	22.3	5.03
21.4	13.75	22.5	5.04
21.5	14.51	22.7	5.46
21.6	15.58	22.9	4.97
21.8	16.48	23	4.5
22	16.81	23.2	4.07
22.1	16.21	23.3	3.82
22.2	15.89	23.5	3.8
22.4	15.29	23.7	3.76
22.6	14.48	23.8	3.99
22.7	14.13	24	4.04
22.9	13.78	24.2	4.12
23	13.55	24.3	4.1
23.2	13.78	24.5	3.9
23.4	14.27	24.7	3.61
23.5	14.97	24.8	3.6
23.7	15.18	25	3.78
23.8	15.18	25.2	4.01
24	14.66	25.4	3.73
24.2	13.65	25.6	3.57
24.4	12.64	25.8	3.32
24.6	12.02	26	3.5
24.7	12.06	26.1	3.52
24.9	12.38	26.3	3.57
25	12.73	26.5	3.66
25.2	13.1	26.6	3.78
25.4	13.56	26.8	4.15
25.5	13.85	27	4.35
25.7	13.95	27.2	4.24
25.8	13.81	27.3	4.13
26	13.53	27.5	4.02
26.2	13.31	27.7	4.24
26.4	13.3	27.8	4.41
26.6	13.06	28	4.11
26.8	12.6	28.2	3.66
27	12.09	28.3	3.1
27.2	11.69	28.4	3.36
27.4	11.47	28.5	3.32
27.6	11.01	28.7	3.4
27.8	10.51	28.9	3.47
27.9	10.84	29	3.47
28.1	11.2	29.2	3.5
28.2	11.6	29.4	3.15
28.4	11.9	29.6	3.23
28.6	11.8	29.7	3.17
28.8	11.63	29.9	3.09
29	11.62	30	3.15
29.2	11.3	30.2	3.21
29.4	11.47	30.4	3.24
29.5	11.18	30.6	3.19
29.7	11.31	30.8	3.16
29.8	11.39	30.9	3.09
30	11.04	31.1	3.02
30.2	10.87	31.2	3.09
30.4	10.74	31.4	3.16
30.6	10.56	31.6	3.2
30.8	10.66	31.8	3.21
31	10.52	32	3.23
31.2	9.96	32.1	3.34
31.4	9.57	32.3	3.32
31.6	9.46	32.5	3.21
31.7	9.7	32.6	3.22
31.9	9.83	32.8	3.18
32	9.84	33	3.32
32.2	9.87	33.2	3.14
32.4	9.78	33.4	3.23
32.6	9.8	33.6	3.06
32.8	9.84	33.7	3.1
33	9.7	33.9	3.13
33.2	9.74	34.1	3.11
33.4	9.9	34.2	3.15
33.5	9.93	34.4	3.2
33.7	9.93	34.6	3.26
33.8	9.88	34.8	3.41
34	9.52	35	3.46
34.2	9.57	35.1	3.49
34.4	9.26	35.3	3.43
34.6	9.07	35.5	3.14
34.8	8.82	35.6	2.94
35	8.8	35.8	2.9
35.1	8.89	36	2.93
35.2	8.94	36.2	3.08
35.4	9.06	36.4	3.22
35.6	9.26	36.6	3.29
35.8	9.41	36.8	3.46
36	9.47	36.9	3.5
36.2	9.23	37.1	3.31
36.4	8.65	37.2	3.21
36.6	8.76	37.4	2.96
36.8	8.44	37.6	2.73
36.9	8.9	37.8	2.58
37	9.13	38	2.68
37.2	9.32	38.1	2.79
37.4	9.95	38.3	2.88
37.6	9.81	38.4	2.86
37.8	10.04	38.6	2.86
38	9.56	38.8	2.96
38.2	9.1	39	3.01
38.4	8.82	39.1	3.01
38.6	8.74	39.3	2.98
38.8	8.74	39.5	2.96
38.9	8.6	39.6	2.86
39.1	8.65	39.8	2.82
39.3	8.69	40	2.81
39.4	8.71	40.1	2.78
39.6	8.73	-20.0   0.0	
39.8	8.79		-20.0   0.0		
40	8.76		-20.0   0.0		
40.2	8.82		-20.0   0.0
