 ################ 1 Barreau:1983ht             1
##################### 2 O'Connell:1987ag           1
#  3 Sealock:1989nx             1
################## 4 Baran:1988tw               1
# 5 Bagdasaryan:1988hp         0
# 6 Dai - HallA:2019da            1
# 7 Arrington:1995hs           1
 8 Day:1993md                 1
 9 Arrington:1998psnoCC       0
10 Gaskell:2008               1
11 Whitney:1974hr             0
12 AlsamiJan05                  1
13 VaheJun07                  1
14 E139                       0
15 Fomin                      0
16 Yamaguchi73
17 Ryan84
18 Cyzyk63
19 Bounin63
20 Spanner
21 Mihovilovic:2024ymj
Bosted:1992fy                           set =           25
 Rock-pc                                 set =           26
 Tvaskis:2006                            set =           27
 GarinoBates:1992                        set =           28
 Day:1993md                              set =           29
 YaLIJan05:2005                          set =           30
 VaheJun07: 2007                         set =           31
 E139                                    set =           32
 MurphyHallA:2019                        set =           33
 Franz:1981cw                            set =           34
   Z   A     E        theta     Nu      CS           err        set
      6     12   0.1196  90.0000   0.0071 0.8676E+05 0.9860E+04   1
      6     12   0.1196  90.0000   0.0121 0.2635E+05 0.5890E+04   1
      6     12   0.1196  90.0000   0.0171 0.2581E+05 0.4670E+04   1
      6     12   0.1196  90.0000   0.0221 0.4006E+05 0.4770E+04   1
      6     12   0.1196 145.0000   0.0021 0.1710E+05 0.7000E+03   1
      6     12   0.1196 145.0000   0.0071 0.4800E+04 0.3400E+03   1
      6     12   0.1196 145.0000   0.0121 0.2390E+04 0.2100E+03   1
      6     12   0.1196 145.0000   0.0171 0.3280E+04 0.2600E+03   1
      6     12   0.1196 145.0000   0.0221 0.7220E+04 0.4100E+03   1
      6     12   0.1597  90.0000   0.0022 0.1223E+06 0.5450E+04   1
      6     12   0.1597  90.0000   0.0072 0.4547E+05 0.2170E+04   1
      6     12   0.1597  90.0000   0.0122 0.2224E+05 0.1400E+04   1
      6     12   0.1597  90.0000   0.0172 0.1394E+05 0.1140E+04   1
      6     12   0.1597  90.0000   0.0222 0.1977E+05 0.1330E+04   1
      6     12   0.1597  90.0000   0.0272 0.2200E+05 0.1360E+04   1
      6     12   0.1597  90.0000   0.0322 0.2340E+05 0.1470E+04   1
      6     12   0.1597  90.0000   0.0372 0.2254E+05 0.1420E+04   1
      6     12   0.1597  90.0000   0.0422 0.2137E+05 0.1400E+04   1
      6     12   0.1597  90.0000   0.0472 0.1939E+05 0.1380E+04   1
      6     12   0.1597  90.0000   0.0522 0.1723E+05 0.1350E+04   1
      6     12   0.1597  90.0000   0.0572 0.1464E+05 0.1310E+04   1
      6     12   0.1597  90.0000   0.0622 0.1200E+05 0.1270E+04   1
      6     12   0.1597 145.0000   0.0022 0.7180E+03 0.7100E+02   1
      6     12   0.1597 145.0000   0.0072 0.1331E+04 0.7300E+02   1
      6     12   0.1597 145.0000   0.0122 0.9470E+03 0.5100E+02   1
      6     12   0.1597 145.0000   0.0172 0.1055E+04 0.5800E+02   1
      6     12   0.1597 145.0000   0.0222 0.3930E+04 0.1700E+03   1
      6     12   0.1597 145.0000   0.0272 0.2770E+04 0.1200E+03   1
      6     12   0.1597 145.0000   0.0322 0.3320E+04 0.1600E+03   1
