qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.2,0.04,-0.00169,0.0001,1.323701e-10,1.859906e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.323701e-10,1.859906e-08
0.2,0.04,-0.00159,0.0002,1.436235e-10,2.006845e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.436235e-10,2.006845e-08
0.2,0.04,-0.00149,0.0003,1.557954e-10,2.165105e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.557954e-10,2.165105e-08
0.2,0.04,-0.00139,0.0004,1.689571e-10,2.335532e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.689571e-10,2.335532e-08
0.2,0.04,-0.00129,0.0005,1.831858e-10,2.519028e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.831858e-10,2.519028e-08
0.2,0.04,-0.00119,0.0006,1.985639e-10,2.716565e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.985639e-10,2.716565e-08
0.2,0.04,-0.00109,0.0007,2.1518e-10,2.929179e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.1518e-10,2.929179e-08
0.2,0.04,-0.00099,0.0008,2.331292e-10,3.157982e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.331292e-10,3.157982e-08
0.2,0.04,-0.00089,0.0009,2.525135e-10,3.404163e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.525135e-10,3.404163e-08
0.2,0.04,-0.00079,0.001,2.734424e-10,3.668997e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.734424e-10,3.668997e-08
0.2,0.04,-0.00069,0.0011,2.960331e-10,3.953845e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.960331e-10,3.953845e-08
0.2,0.04,-0.00059,0.0012,3.204113e-10,4.260165e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.204113e-10,4.260165e-08
0.2,0.04,-0.00049,0.0013,3.467118e-10,4.589516e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.467118e-10,4.589516e-08
0.2,0.04,-0.00039,0.0014,3.750788e-10,4.943566e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.750788e-10,4.943566e-08
0.20001,0.04,-0.00029,0.0015,4.05667e-10,5.324096e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.05667e-10,5.324096e-08
0.20001,0.04,-0.00019,0.0016,4.386418e-10,5.733011e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.386418e-10,5.733011e-08
0.20001,0.04,-9e-05,0.0017,4.741804e-10,6.172346e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.741804e-10,6.172346e-08
0.20001,0.04,1e-05,0.0018,5.124722e-10,6.644276e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.124722e-10,6.644276e-08
0.20001,0.04,0.00011,0.0019,5.5372e-10,7.151122e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.5372e-10,7.151122e-08
0.20001,0.04,0.00021,0.002,5.981407e-10,7.695363e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.981407e-10,7.695363e-08
0.20001,0.04,0.00031,0.0021,6.45966e-10,8.279647e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.45966e-10,8.279647e-08
0.20001,0.04,0.00041,0.0022,6.974437e-10,8.906799e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.974437e-10,8.906799e-08
0.20001,0.04,0.00051,0.0023,7.528386e-10,9.579831e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.528386e-10,9.579831e-08
0.20001,0.04,0.00061,0.0024,8.124333e-10,1.030196e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.124333e-10,1.030196e-07
0.20002,0.04,0.00071,0.0025,8.765301e-10,1.107661e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.765301e-10,1.107661e-07
0.20002,0.04,0.00081,0.0026,9.454512e-10,1.190745e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.454512e-10,1.190745e-07
0.20002,0.04,0.00091,0.0027,1.019541e-09,1.279836e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.019541e-09,1.279836e-07
0.20002,0.04,0.00101,0.0028,1.099166e-09,1.37535e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.099166e-09,1.37535e-07
0.20002,0.04,0.00111,0.0029,1.184718e-09,1.47773e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.184718e-09,1.47773e-07
0.20002,0.04,0.00121,0.003,1.276616e-09,1.587448e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.276616e-09,1.587448e-07
0.20002,0.04,0.00131,0.0031,1.375303e-09,1.705004e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.375303e-09,1.705004e-07
0.20003,0.04,0.00141,0.0032,1.481255e-09,1.830934e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.481255e-09,1.830934e-07
0.20003,0.04,0.00151,0.0033,1.594977e-09,1.965807e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.594977e-09,1.965807e-07
0.20003,0.04,0.00161,0.0034,1.717008e-09,2.110229e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.717008e-09,2.110229e-07
0.20003,0.04,0.00171,0.0035,1.847921e-09,2.264843e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.847921e-09,2.264843e-07
