A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.0021,0.1196,145,17100,917.0016358,1
12,6,0.0022,0.1597,90,122300,6902.988339,1
12,6,0.0022,0.1597,145,718,75.23050445,1
12,6,0.0028,0.3203,60,4690,228.0248232,1
12,6,0.0028,0.2803,60,48190,2044.292376,1
12,6,0.0029,0.2404,60,270700,11810.44402,1
12,6,0.0034,0.3609,60,200,80.2994396,1
12,6,0.0036,0.2411,90,210,21.28191721,1
12,6,0.0049,0.1999,90,1750,125.5985669,1
12,6,0.0071,0.1196,90,86760,10307.8784,1
12,6,0.0071,0.1196,145,4800,378.4811753,1
12,6,0.0072,0.1597,90,45470,2681.403565,1
12,6,0.0072,0.1597,145,1331,86.34160759,1
12,6,0.0075,0.44,60,830,41.55333922,1
12,6,0.0075,0.2,60,164000,14077.27247,1
12,6,0.0076,0.2801,90,140,20.57960155,1
12,6,0.0078,0.3203,60,30210,1305.209914,1
12,6,0.0078,0.2803,60,56900,2570.531462,1
12,6,0.0079,0.2404,60,106700,5535.003884,1
12,6,0.0082,0.3207,90,230,21.52858565,1
12,6,0.0084,0.3609,60,8010,387.1590371,1
12,6,0.0084,0.1609,60,146800,19910.36885,1
12,6,0.0085,0.401,60,1050,54.06477596,1
12,6,0.0086,0.2411,90,4570,225.0819407,1
12,6,0.0086,0.2411,145,27,4.107894838,1
12,6,0.0099,0.1999,90,20370,1074.255221,1
12,6,0.0099,0.1999,145,238,20.71165855,1
12,6,0.0101,0.3601,90,160,20.75379483,1
12,6,0.0113,0.5188,60,250,21.79449472,1
12,6,0.0121,0.1196,90,26350,5960.309304,1
12,6,0.0121,0.1196,145,2390,225.7310789,1
12,6,0.0122,0.1597,90,22240,1597.980325,1
12,6,0.0122,0.1597,145,947,60.63968008,1
12,6,0.0123,0.4798,60,380,16.53118265,1
12,6,0.0125,0.68,36,3770,273.2315501,1
12,6,0.0125,0.62,36,16870,830.4313819,1
12,6,0.0125,0.56,36,52550,2456.888886,1
12,6,0.0125,0.48,36,101700,4882.199095,1
12,6,0.0125,0.4,36,181000,9814.056246,1
12,6,0.0125,0.32,36,284100,20339.50275,1
12,6,0.0125,0.24,36,361300,51979.30095,1
12,6,0.0125,0.16,36,410600,183751.3288,1
12,6,0.0125,0.56,60,30,10.05385498,1
12,6,0.0125,0.44,60,1210,57.93893337,1
12,6,0.0125,0.2,60,84410,6665.595076,1
12,6,0.0126,0.2801,90,1540,88.01090842,1
12,6,0.0128,0.3203,60,23290,914.2258583,1
12,6,0.0128,0.2803,60,39620,1593.67289,1
12,6,0.0129,0.2404,60,60580,2764.76467,1
12,6,0.0132,0.3207,90,220,12.57298692,1
12,6,0.0134,0.3609,60,8530,362.5094206,1
12,6,0.0134,0.1609,60,81090,11149.65496,1
12,6,0.0135,0.401,60,4440,183.4565889,1
12,6,0.0136,0.2411,90,4830,211.8836473,1
12,6,0.0136,0.2411,145,29,3.163731973,1
12,6,0.0149,0.1999,90,12140,630.6786186,1
12,6,0.0149,0.1999,145,207,14.84650801,1
12,6,0.0151,0.3601,90,50,10.14889156,1
12,6,0.0171,0.1196,90,25810,4754.817275,1
12,6,0.0171,0.1196,145,3280,283.7429823,1
12,6,0.0172,0.1597,90,13940,1238.058286,1
12,6,0.0172,0.1597,145,1055,68.55384744,1
12,6,0.0173,0.4798,60,350,23.38803113,1
12,6,0.0175,0.48,36,82540,4058.302838,1
12,6,0.0175,0.4,36,124500,7147.747897,1
12,6,0.0175,0.32,36,154200,12943.61881,1
12,6,0.0175,0.24,36,304100,42525.42971,1
12,6,0.0175,0.2,36,435600,79672.01348,1
12,6,0.0175,0.16,36,409000,148178.9027,1
12,6,0.0175,0.44,60,1320,54.68893855,1
