A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.015711316,0.25,40,121600,3648,16
12,6,0.015901316,0.25,40,119900,3597,16
12,6,0.016021316,0.25,40,133000,3990,16
12,6,0.016101316,0.25,40,146000,4380,16
12,6,0.016181316,0.25,40,157200,4716,16
12,6,0.016321316,0.25,40,173000,5190,16
12,6,0.016411316,0.25,40,185200,5556,16
12,6,0.016531316,0.25,40,199900,5997,16
12,6,0.016741316,0.25,40,197600,5928,16
12,6,0.016951316,0.25,40,198900,5967,16
12,6,0.017011316,0.25,40,212700,6381,16
12,6,0.017051316,0.25,40,227000,6810,16
12,6,0.017101316,0.25,40,243400,7302,16
12,6,0.017161316,0.25,40,259800,7794,16
12,6,0.017201316,0.25,40,271500,8145,16
12,6,0.017241316,0.25,40,284800,8544,16
12,6,0.017281316,0.25,40,298200,8946,16
12,6,0.017321316,0.25,40,310800,9324,16
12,6,0.017371316,0.25,40,326500,9795,16
12,6,0.017551316,0.25,40,317800,9534,16
12,6,0.017631316,0.25,40,296100,8883,16
12,6,0.017641316,0.25,40,304400,9132,16
12,6,0.017671316,0.25,40,280900,8427,16
12,6,0.017701316,0.25,40,265300,7959,16
12,6,0.017741316,0.25,40,249500,7485,16
12,6,0.017771316,0.25,40,229700,6891,16
12,6,0.017811316,0.25,40,217400,6522,16
12,6,0.017831316,0.25,40,207200,6216,16
12,6,0.017861316,0.25,40,193400,5802,16
12,6,0.017891316,0.25,40,180100,5403,16
12,6,0.017931316,0.25,40,161300,4839,16
12,6,0.017991316,0.25,40,139900,4197,16
12,6,0.018191316,0.25,40,130500,3915,16
12,6,0.018381316,0.25,40,132200,3966,16
12,6,0.018601316,0.25,40,131900,3957,16
12,6,0.018811316,0.25,40,126800,3804,16
12,6,0.019031316,0.25,40,121700,3651,16
12,6,0.019221316,0.25,40,129300,3879,16
12,6,0.019431316,0.25,40,138000,4140,16
12,6,0.019641316,0.25,40,150900,4527,16
12,6,0.019841316,0.25,40,160800,4824,16
12,6,0.020041316,0.25,40,171900,5157,16
12,6,0.020261316,0.25,40,173400,5202,16
12,6,0.020461316,0.25,40,180800,5424,16
12,6,0.020581316,0.25,40,189200,5676,16
12,6,0.020711316,0.25,40,198800,5964,16
12,6,0.020881316,0.25,40,212700,6381,16
12,6,0.021081316,0.25,40,215200,6456,16
12,6,0.021331316,0.25,40,202100,6063,16
12,6,0.021501316,0.25,40,191300,5739,16
12,6,0.021711316,0.25,40,189900,5697,16
12,6,0.021931316,0.25,40,192000,5760,16
12,6,0.022151316,0.25,40,209100,6273,16
12,6,0.022381316,0.25,40,227600,6828,16
12,6,0.022551316,0.25,40,242000,7260,16
12,6,0.022591316,0.25,40,249400,7482,16
12,6,0.022751316,0.25,40,263400,7902,16
12,6,0.022801316,0.25,40,273200,8196,16
12,6,0.022921316,0.25,40,287400,8622,16
12,6,0.023001316,0.25,40,299500,8985,16
12,6,0.023101316,0.25,40,317300,9519,16
12,6,0.023191316,0.25,40,332800,9984,16
12,6,0.023291316,0.25,40,346500,10395,16
12,6,0.023421316,0.25,40,361600,10848,16
12,6,0.023581316,0.25,40,366500,10995,16
12,6,0.023811316,0.25,40,358100,10743,16
12,6,0.024031316,0.25,40,345800,10374,16
12,6,0.024221316,0.25,40,331800,9954,16
12,6,0.024461316,0.25,40,317700,9531,16
12,6,0.024641316,0.25,40,305200,9156,16
12,6,0.024851316,0.25,40,302000,9060,16
12,6,0.025071316,0.25,40,308200,9246,16
12,6,0.025271316,0.25,40,321000,9630,16
12,6,0.025471316,0.25,40,327800,9834,16
12,6,0.025721316,0.25,40,320400,9612,16
12,6,0.025871316,0.25,40,303900,9117,16
12,6,0.025941316,0.25,40,294700,8841,16
12,6,0.026111316,0.25,40,278200,8346,16
