E0,ThetaDeg,nu,A,Z,CS_qe,CS_mec,CS_inel,cross,,
0.1196,90,1.21E-02,12,6,43222.09219,0,0,43222.09219,,
0.1196,90,1.71E-02,12,6,53376.88127,184.3127254,0,53561.194,,
0.1196,90,2.21E-02,12,6,56388.91229,0,0,56388.91229,,
0.1196,145,2.10E-03,12,6,823.8113164,0,0,823.8113164,,
0.1196,145,7.10E-03,12,6,3045.103033,0,0,3045.103033,,
0.1196,145,1.21E-02,12,6,5030.643766,0,0,5030.643766,,
0.1196,145,1.71E-02,12,6,6581.322278,0,0,6581.322278,,
0.1196,145,2.21E-02,12,6,7550.901631,0,0,7550.901631,,
0.1597,90,2.20E-03,12,6,2484.985941,0,0,2484.985941,,
0.1597,90,7.20E-03,12,6,9843.438521,0,0,9843.438521,,
0.1597,90,1.22E-02,12,6,16637.96798,0,0,16637.96798,,
0.1597,90,1.72E-02,12,6,22129.41648,0,0,22129.41648,,
0.1597,90,2.22E-02,12,6,25795.28961,0,0,25795.28961,,
0.1597,90,2.72E-02,12,6,27434.67869,0,0,27434.67869,,
0.1597,90,3.22E-02,12,6,27182.21352,5.48E-02,0,27182.2683,,
0.1597,90,3.72E-02,12,6,26304.10729,0.183655393,0,26304.29095,,
0.1597,90,4.22E-02,12,6,24631.19749,0.315485651,0,24631.51297,,
0.1597,90,4.72E-02,12,6,22240.5112,672.8559559,0,22913.36716,,
0.1597,90,5.22E-02,12,6,19409.23499,763.0551083,0,20172.2901,,
0.1597,90,5.72E-02,12,6,16351.32431,848.5590195,0,17199.88333,,
0.1597,90,6.22E-02,12,6,13228.63531,928.6111111,0,14157.24642,,
0.1597,145,2.20E-03,12,6,0,0,0,0,,
0.1597,145,7.20E-03,12,6,484.3348352,0,0,484.3348352,,
0.1597,145,1.22E-02,12,6,1365.82062,0,0,1365.82062,,
0.1597,145,1.72E-02,12,6,2240.011892,0,0,2240.011892,,
0.1597,145,2.22E-02,12,6,3042.750536,0,0,3042.750536,,
0.1597,145,2.72E-02,12,6,3710.902572,0,0,3710.902572,,
