qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
1.3252,1.75,0.00025,0.07853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32522,1.75,0.0005,0.07878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32523,1.75,0.00075,0.07903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32525,1.75,0.001,0.07928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32526,1.75,0.00125,0.07953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32528,1.75,0.0015,0.07978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32529,1.75,0.00175,0.08003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32531,1.75,0.002,0.08028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32532,1.75,0.00225,0.08053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32534,1.75,0.0025,0.08078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32535,1.75,0.00275,0.08103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32537,1.75,0.003,0.08128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32539,1.75,0.00325,0.08153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3254,1.75,0.0035,0.08178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32542,1.75,0.00375,0.08203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32543,1.75,0.004,0.08228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32545,1.75,0.00425,0.08253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32546,1.75,0.0045,0.08278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32548,1.75,0.00475,0.08303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32549,1.75,0.005,0.08328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32551,1.75,0.00525,0.08353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32553,1.75,0.0055,0.08378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32554,1.75,0.00575,0.08403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32556,1.75,0.006,0.08428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32557,1.75,0.00625,0.08453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32559,1.75,0.0065,0.08478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32561,1.75,0.00675,0.08503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32562,1.75,0.007,0.08528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32564,1.75,0.00725,0.08553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32565,1.75,0.0075,0.08578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32567,1.75,0.00775,0.08603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32569,1.75,0.008,0.08628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3257,1.75,0.00825,0.08653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
