qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.475,0.22552,0.0001,0.01019,3.42e-11,2.95e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.42e-11,2.95e-05
0.475,0.22552,0.0002,0.01029,3.66e-11,3.17e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.66e-11,3.17e-05
0.475,0.22552,0.0003,0.01039,3.92e-11,3.39e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.92e-11,3.39e-05
0.475,0.22551,0.0004,0.01049,4.2e-11,3.63e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.2e-11,3.63e-05
0.475,0.22551,0.00051,0.01059,4.5e-11,3.88e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.5e-11,3.88e-05
0.475,0.22551,0.00061,0.01069,4.82e-11,4.14e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-11,4.14e-05
0.475,0.22551,0.00071,0.01079,5.17e-11,4.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.17e-11,4.41e-05
0.475,0.22551,0.00081,0.01089,5.54e-11,4.68e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.54e-11,4.68e-05
0.475,0.2255,0.00091,0.01099,5.94e-11,4.97e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.94e-11,4.97e-05
0.475,0.2255,0.00101,0.01109,6.38e-11,5.27e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.38e-11,5.27e-05
0.475,0.2255,0.00111,0.01119,6.85e-11,5.58e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.85e-11,5.58e-05
0.475,0.2255,0.00121,0.01129,7.37e-11,5.89e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.37e-11,5.89e-05
0.475,0.2255,0.00131,0.01139,7.93e-11,6.22e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.93e-11,6.22e-05
0.475,0.22549,0.00141,0.01149,8.55e-11,6.55e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.55e-11,6.55e-05
0.475,0.22549,0.00151,0.01159,9.22e-11,6.89e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.22e-11,6.89e-05
0.475,0.22549,0.00161,0.01169,9.97e-11,7.23e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.97e-11,7.23e-05
0.475,0.22549,0.00171,0.01179,1.08e-10,7.59e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.08e-10,7.59e-05
0.475,0.22548,0.00181,0.01189,1.17e-10,7.94e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.17e-10,7.94e-05
0.475,0.22548,0.00191,0.01199,1.28e-10,8.31e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.28e-10,8.31e-05
0.475,0.22548,0.00201,0.01209,1.39e-10,8.67e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.39e-10,8.67e-05
0.475,0.22548,0.00211,0.01219,1.53e-10,9.04e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.53e-10,9.04e-05
0.475,0.22547,0.00221,0.01229,1.68e-10,9.41e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.68e-10,9.41e-05
0.475,0.22547,0.00231,0.01239,1.85e-10,9.78e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.85e-10,9.78e-05
0.475,0.22547,0.00241,0.01249,2.05e-10,0.000102,0.0,0.0,0.0,0.0,0.0,0.0,2.05e-10,0.000102
0.475,0.22547,0.00251,0.01259,2.29e-10,0.000105,0.0,0.0,0.0,0.0,0.0,0.0,2.29e-10,0.000105
0.475,0.22546,0.00261,0.01269,2.56e-10,0.000109,0.0,0.0,0.0,0.0,0.0,0.0,2.56e-10,0.000109
0.475,0.22546,0.00271,0.01279,2.88e-10,0.000113,0.0,0.0,0.0,0.0,0.0,0.0,2.88e-10,0.000113
0.475,0.22546,0.00281,0.01289,3.25e-10,0.000116,0.0,0.0,0.0,0.0,0.0,0.0,3.25e-10,0.000116
0.475,0.22546,0.00291,0.01299,3.69e-10,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-10,0.00012
0.475,0.22545,0.00301,0.01309,4.22e-10,0.000123,0.0,0.0,0.0,0.0,0.0,0.0,4.22e-10,0.000123
0.475,0.22545,0.00311,0.01319,4.84e-10,0.000127,0.0,0.0,0.0,0.0,0.0,0.0,4.84e-10,0.000127
0.475,0.22545,0.00321,0.01329,5.57e-10,0.00013,0.0,0.0,0.0,0.0,0.0,0.0,5.57e-10,0.00013
0.475,0.22545,0.00331,0.01339,6.46e-10,0.000134,0.0,0.0,0.0,0.0,0.0,0.0,6.46e-10,0.000134
0.475,0.22544,0.00341,0.01349,7.51e-10,0.000137,0.0,0.0,0.0,0.0,0.0,0.0,7.51e-10,0.000137
0.475,0.22544,0.00351,0.01359,8.77e-10,0.00014,0.0,0.0,0.0,0.0,0.0,0.0,8.77e-10,0.00014
0.475,0.22544,0.00361,0.01369,1.03e-09,0.000143,0.0,0.0,0.0,0.0,0.0,0.0,1.03e-09,0.000143
0.475,0.22543,0.00371,0.01379,1.21e-09,0.000146,0.0,0.0,0.0,0.0,0.0,0.0,1.21e-09,0.000146
0.475,0.22543,0.00381,0.01389,1.43e-09,0.000149,0.0,0.0,0.0,0.0,0.0,0.0,1.43e-09,0.000149
0.475,0.22543,0.00391,0.01399,1.69e-09,0.000152,0.0,0.0,0.0,0.0,0.0,0.0,1.69e-09,0.000152
0.475,0.22543,0.00401,0.01409,2e-09,0.000155,0.0,0.0,0.0,0.0,0.0,0.0,2e-09,0.000155
0.475,0.22542,0.00411,0.01419,2.37e-09,0.000157,0.0,0.0,0.0,0.0,0.0,0.0,2.37e-09,0.000157
0.475,0.22542,0.00421,0.01429,2.82e-09,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,2.82e-09,0.00016
0.475,0.22542,0.00431,0.01439,3.36e-09,0.000162,0.0,0.0,0.0,0.0,0.0,0.0,3.36e-09,0.000162
0.475,0.22541,0.00441,0.01449,4e-09,0.000164,0.0,0.0,0.0,0.0,0.0,0.0,4e-09,0.000164
0.475,0.22541,0.00451,0.01459,4.76e-09,0.000167,0.0,0.0,0.0,0.0,0.0,0.0,4.76e-09,0.000167
0.475,0.22541,0.00461,0.01469,5.68e-09,0.000169,0.0,0.0,0.0,0.0,0.0,0.0,5.68e-09,0.000169
0.475,0.22541,0.00471,0.01479,6.77e-09,0.000171,0.0,0.0,0.0,0.0,0.0,0.0,6.77e-09,0.000171
0.475,0.2254,0.00481,0.01489,8.07e-09,0.000173,0.0,0.0,0.0,0.0,0.0,0.0,8.07e-09,0.000173
0.475,0.2254,0.00491,0.01499,9.62e-09,0.000174,0.0,0.0,0.0,0.0,0.0,0.0,9.62e-09,0.000174
0.475,0.2254,0.00501,0.01509,1.15e-08,0.000176,0.0,0.0,0.0,0.0,0.0,0.0,1.15e-08,0.000176
0.475,0.22539,0.00511,0.01519,1.36e-08,0.000178,0.0,0.0,0.0,0.0,0.0,0.0,1.36e-08,0.000178
0.475,0.22539,0.00521,0.01529,1.62e-08,0.000179,0.0,0.0,0.0,0.0,0.0,0.0,1.62e-08,0.000179
0.475,0.22539,0.00531,0.01539,1.93e-08,0.000181,0.0,0.0,0.0,0.0,0.0,0.0,1.93e-08,0.000181
0.475,0.22538,0.00541,0.01549,2.29e-08,0.000182,0.0,0.0,0.0,0.0,0.0,0.0,2.29e-08,0.000182
0.475,0.22538,0.00551,0.01559,2.71e-08,0.000184,0.0,0.0,0.0,0.0,0.0,0.0,2.71e-08,0.000184
0.475,0.22538,0.00561,0.01569,3.22e-08,0.000185,0.0,0.0,0.0,0.0,0.0,0.0,3.22e-08,0.000185
0.475,0.22538,0.00571,0.01579,3.81e-08,0.000187,0.0,0.0,0.0,0.0,0.0,0.0,3.81e-08,0.000187
0.475,0.22537,0.00581,0.01589,4.5e-08,0.000188,0.0,0.0,0.0,0.0,0.0,0.0,4.5e-08,0.000188
0.475,0.22537,0.00591,0.01599,5.31e-08,0.000189,0.0,0.0,0.0,0.0,0.0,0.0,5.31e-08,0.000189
0.475,0.22537,0.00601,0.01609,6.26e-08,0.000191,0.0,0.0,0.0,0.0,0.0,0.0,6.26e-08,0.000191
0.475,0.22536,0.00611,0.01619,7.37e-08,0.000192,0.0,0.0,0.0,0.0,0.0,0.0,7.37e-08,0.000192
0.475,0.22536,0.00621,0.01629,8.67e-08,0.000193,0.0,0.0,0.0,0.0,0.0,0.0,8.67e-08,0.000193
0.475,0.22536,0.00631,0.01639,1.02e-07,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,1.02e-07,0.000195
0.475,0.22535,0.00641,0.01649,1.19e-07,0.000196,0.0,0.0,0.0,0.0,0.0,0.0,1.19e-07,0.000196
0.475,0.22535,0.00651,0.01659,1.4e-07,0.000198,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-07,0.000198
0.475,0.22535,0.00661,0.01669,1.63e-07,0.000199,0.0,0.0,0.0,0.0,0.0,0.0,1.63e-07,0.000199
0.475,0.22534,0.00671,0.01679,1.91e-07,0.000201,0.0,0.0,0.0,0.0,0.0,0.0,1.91e-07,0.000201
0.475,0.22534,0.00681,0.01689,2.22e-07,0.000202,0.0,0.0,0.0,0.0,0.0,0.0,2.22e-07,0.000202
0.475,0.22534,0.00691,0.01699,2.59e-07,0.000204,0.0,0.0,0.0,0.0,0.0,0.0,2.59e-07,0.000204
0.475,0.22533,0.00701,0.01709,3e-07,0.000205,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,0.000205
0.475,0.22533,0.00711,0.01719,3.48e-07,0.000207,0.0,0.0,0.0,0.0,0.0,0.0,3.48e-07,0.000207
0.475,0.22533,0.00721,0.01729,4.04e-07,0.000208,0.0,0.0,0.0,0.0,0.0,0.0,4.04e-07,0.000208
0.475,0.22532,0.00731,0.01739,4.67e-07,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,4.67e-07,0.00021
0.475,0.22532,0.00741,0.01749,5.39e-07,0.000211,0.0,0.0,0.0,0.0,0.0,0.0,5.39e-07,0.000211
0.475,0.22532,0.00751,0.01759,6.21e-07,0.000213,0.0,0.0,0.0,0.0,0.0,0.0,6.21e-07,0.000213
