,Z,A,E0,ThetaDeg,nu,cross,error,dataSet,normalization,normError,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),Ex,Ep,Veff,Ffoc2,E0original,Q2,qv2,qv,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Hcc,Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,W2bin_q2,W2center_q2,nucenter_w2_q2,epcenter_w2_q2,Exbin_q2,Excenter_q2,nucenter_ex_q2,epcenter_ex_q2,W2bin_qv,W2center_qv,nucenter_w2_qv,epcenter_w2_qv,Exbin_qv,Excenter_qv,nucenter_ex_qv,epcenter_ex_qv,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_q2_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,bc_q2_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,bc_qv_w2,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,bc_qv_ex
35,6,12,0.1628928688459899,36.0,0.0125,410600.0,183200.0,1,0.95971,0.0062926,394056.926,175837.8556278518,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.012063800690715793,0.1503928688459899,0.002892868845989906,1.0364877625342526,0.16,0.009357375024760353,0.009513625024760353,0.09753781330725204,0.8944556725042397,0.8232679631802428,0.001550723596733312,254111646.22122437,118138397.05923176,0.05158386645157448,16.497240776087086,6500851.987706731,2900839.4418435106,16.695433178300252,7.449911358366549,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,0.0,0.012257595399996279,0.012704902610588514,0.8233476254728832,0.0,0.0,0.0,0.0,0.0,0.0122559593330362,0.01269605640548832,0.82331304412925,0.0,0.0,0.006385044,0.0008980095,1.0,0.00703693,0.001044901,0.006370081,0.000889111,1.110328643151179,0.0,0.0,0.006385045,0.0008980096,1.0,0.006911473,0.001030166,0.006370513,0.0008892033,1.0907834013895423
36,6,12,0.1628928688459899,36.0,0.0175,409000.0,147500.0,1,0.95971,0.0062926,392521.38999999996,141580.61924031304,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.017063800690715794,0.14539286884598993,0.002892868845989906,1.0364877625342526,0.16,0.009046277327889407,0.009352527327889406,0.09670846564747786,0.9041495002011106,0.8208201494706338,0.0025811462340842826,152072511.35821655,57145154.37066231,0.05158386645157448,17.007962674358733,6675989.150007406,2407997.88745184,17.14521895957283,6.184199840184702,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,3.0,0.01698411035218813,0.017431417562780365,0.8213138373478185,0.0,0.0,0.0,0.0,4.0,0.017167559091136625,0.017601008924954087,0.8210882146192495,0.0,0.0,0.01402788,0.003724103,1.0,0.01507192,0.004061814,0.01397272,0.003703394,1.081288275513955,0.0,0.0,0.01402788,0.003724103,1.0,0.01503577,0.004058569,0.0139744,0.003703948,1.0787974561527787
37,6,12,0.1628928688459899,36.0,0.0225,790800.0,146500.0,1,0.95971,0.0062926,758938.668,140685.54890955487,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.02206380069071579,0.14039286884598992,0.002892868845989906,1.0364877625342526,0.16,0.00873517963101846,0.00924142963101846,0.09613235475644223,0.9138433278979816,0.8174057553031835,0.003564823492224392,212896562.6644349,41096003.86093348,0.05158386645157448,17.73611275499604,13460621.789774504,2495214.7584583755,34.56945521210515,6.408189471799698,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,6.0,0.022068519882839165,0.0225158270934314,0.8184311290017392,0.0,0.0,0.0,0.0,7.0,0.02207029710839537,0.02249496951609231,0.8180631204235178,0.0,0.0,0.02583712,0.007387266,1.0,0.02993088,0.008218352,0.02574183,0.007353556,1.1557263124091683,0.0,0.0,0.02583712,0.007387267,1.0,0.02832988,0.007884135,0.02574919,0.007355085,1.0958206574017588
38,6,12,0.1628928688459899,36.0,0.0275,542100.0,123000.0,1,0.95971,0.0062926,520258.79099999997,118093.608025713,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.027063800690715793,0.13539286884598992,0.002892868845989906,1.0364877625342526,0.16,0.008424081934147514,0.009180331934147514,0.09581404873058812,0.9235371555948525,0.8129415973887951,0.00448706445658712,115946360.03863224,27412131.29208184,0.05158386645157448,18.71617336239198,9737253.725664455,2210260.4407996093,25.0071327918872,5.676372199488853,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,9.0,0.026969881718295334,0.02741718892888757,0.8149843135948841,0.0,0.0,0.0,0.0,10.0,0.02695159006141271,0.02736539999535026,0.8141747627564152,0.0,0.0,0.02249696,0.0081608,1.0,0.02837693,0.009426246,0.0226301,0.008183581,1.2335525035487562,0.0,0.0,0.02249696,0.0081608,1.0,0.02591803,0.008894356,0.02264224,0.008186345,1.1330070310663662
87,6,12,0.20289286884598992,36.0,0.0175,435600.0,78200.0,1,0.95971,0.0062926,418049.676,75099.36167321798,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.016818902788826293,0.1853928688459899,0.002892868845989906,1.0291379057139014,0.2,0.014367609887949644,0.014673859887949644,0.1211357085584166,0.8988281676410504,0.8226077272195119,0.0013046560026341058,320429044.25071126,59939171.58401439,0.03301367452900766,25.990737342147735,10865419.32488596,1951887.783811565,27.90447815699897,5.0128217236433805,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,2.0,0.01682516813355016,0.017272475344142394,0.8213924078198519,0.0,0.0,0.0,0.0,2.0,0.016822342505336298,0.017256329760801492,0.821270169277375,0.0,0.0,0.01879717,0.005792588,1.0,0.01475789,0.003947606,0.01869629,0.005753048,0.7727402109591521,0.0,0.0,0.01879717,0.005792589,1.0,0.01438777,0.003821556,0.01869751,0.005753779,0.7525369590102143
88,6,12,0.20289286884598992,36.0,0.0225,601100.0,75400.0,1,0.95971,0.0062926,576881.681,72460.92468396455,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.02181890278882629,0.18039286884598993,0.002892868845989906,1.0291379057139014,0.2,0.013980118988828678,0.014486368988828678,0.12035933278657156,0.9085983885401714,0.8204847794322659,0.001971127921413276,292665775.129593,38252210.41257387,0.03301367452900766,26.685418257248962,15394328.94242987,1933650.0824986096,39.53558559233976,4.965983813139951,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,5.0,0.021891748603217832,0.022339055813810068,0.8185432862371927,0.0,0.0,0.0,0.0,6.0,0.021894428897390884,0.022319453141953716,0.8181863459291049,0.0,0.0,0.03756668,0.01036734,1.0,0.02947109,0.008079572,0.03737026,0.01032213,0.7876976853780999,0.0,0.0,0.03756668,0.01036734,1.0,0.0279257,0.007753347,0.03737343,0.01032355,0.7477390408700296
89,6,12,0.20289286884598992,36.0,0.0275,650100.0,70570.0,1,0.95971,0.0062926,623907.471,67850.16872007151,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.02681890278882629,0.17539286884598992,0.002892868845989906,1.0291379057139014,0.2,0.013592628089707709,0.014348878089707709,0.1197868026524947,0.9183686094392923,0.8177329783420475,0.0026129742469223954,238772912.4138321,27007537.515196916,0.03301367452900766,27.602388892618414,17221336.647552047,1872826.7434411873,44.22769135244448,4.8097778273961485,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,8.0,0.02674875010631308,0.027196057316905317,0.8151537160339501,0.0,0.0,0.0,0.0,9.0,0.026733884634348393,0.027148224137221177,0.8143681784240475,0.0,0.0,0.03701481,0.01145511,1.0,0.0289346,0.009507531,0.03722527,0.01148737,0.785991838996307,0.0,0.0,0.03701481,0.01145511,1.0,0.02647568,0.008981177,0.03723087,0.01148912,0.7233499911733935
90,6,12,0.20289286884598992,36.0,0.0325,455800.0,58990.0,1,0.95971,0.0062926,437435.81799999997,56685.900498977564,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.03181890278882629,0.17039286884598992,0.002892868845989906,1.0291379057139014,0.2,0.013205137190586741,0.014261387190586741,0.11942105003133552,0.9281388303384134,0.8143092416623663,0.0032240193808821273,135680269.35381284,18297036.410451006,0.03301367452900766,28.769559021895933,12584835.584242327,1630828.3601146552,32.32026847464528,4.188279622895408,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,11.0,0.03185232775312769,0.032299634963719924,0.8109157490463504,0.0,0.0,0.0,0.0,12.0,0.0325101294150129,0.032908993172767964,0.8085446869246588,0.0,0.0,0.02477796,0.009055053,0.0,0.01826211,0.007226231,0.02488902,0.009085263,1.0,0.0,0.0,0.02477796,0.009055053,0.0,0.01480056,0.006095794,0.02489862,0.009087957,0.6109368559695132
91,6,12,0.20289286884598992,36.0,0.0375,375600.0,53380.0,1,0.95971,0.0062926,360467.076,51283.81169597081,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.03681890278882629,0.16539286884598992,0.002892868845989906,1.0291379057139014,0.2,0.012817646291465774,0.014223896291465773,0.11926397734213702,0.9379090512375343,0.8101686979450892,0.0037985420001934267,94896166.99819155,14052760.242556702,0.03301367452900766,30.22053738132133,10893508.744993595,1549824.3484147298,27.976617168517926,3.980245804087077,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,13.0,0.03666053187150233,0.037107839082094564,0.8063084315139828,0.0,0.0,0.0,0.0,14.0,0.03781775080500489,0.038199785889903026,0.8017827556358803,0.0,0.0,0.02044712,0.007160623,0.0,0.01499739,0.005200312,0.02051258,0.007201132,1.0,0.0,0.0,0.02044712,0.007160623,0.0,0.01107076,0.003365315,0.02052665,0.007206278,0.5258013138111252
92,6,12,0.20289286884598992,36.0,0.0425,276200.0,47410.0,1,0.95971,0.0062926,265071.902,45533.0336146797,0.6283185307179586,0.09549150281252627,0.9045084971874736,0.10557280900008409,0.041818902788826294,0.1603928688459899,0.002892868845989906,1.0291379057139014,0.2,0.012430155392344806,0.014236405392344807,0.11931640873050449,0.9476792721366553,0.8052647581999601,0.004331489955725948,61196471.585855156,10945425.358155815,0.03301367452900766,31.995758084317245,8481176.451341849,1456863.928380377,21.781285742932575,3.7415056383603136,"[0.063,0.124]",0.1,"[0.004,0.015]",0.01,0.0,0.0,0.0,0.0,15.0,0.043206349945256725,0.04365365715584896,0.7991162354928101,0.0,0.0,0.0,0.0,15.0,0.04108435075566596,0.04145478824589155,0.796837777870531,0.0,0.0,0.01647365,0.004932676,0.0,0.01155538,0.002569189,0.01655615,0.004979394,1.0,0.0,0.0,0.01647365,0.004932677,0.0,0.009134525,0.001779829,0.01657339,0.004987165,0.5155764157073711
